material_number,fiscal_month,pcf_amt,pcf_units
1732465-2,2023M6,40028,1250
1732492-1,2023M6,274081,9332
1732492-2,2023M6,8971,318
1732509-1,2023M6,130,3
2-1418390-1,2023M6,165628,352308
2-1418437-1,2023M6,636,800
2-1418448-1,2023M6,63022,142963
2-1418448-2,2023M6,29542,71412
2-1418469-1,2023M6,11342,23343
2-1418479-1,2023M6,13216,24368
2-1418480-1,2023M6,1964,3340
2-1418483-1,2023M6,9549,24494
2-1418883-1,2023M6,355650,92437
2-1437285-2,2023M6,42540,14313
2-1437285-3,2023M6,56392,18630
2-1447232-6,2023M6,32776,5077
2-1563759-1,2023M6,45708,53502
2-1563878-1,2023M6,8633,8328
2-1564330-1,2023M6,15479,13816
2-1564337-1,2023M6,32528,39485
2-1564412-1,2023M6,6424,4767
2-1564416-1,2023M6,8897,11004
2-1564514-1,2023M6,2967,2400
2-1564520-1,2023M6,42229,32863
2-1564526-1,2023M6,17693,13126
2-1564530-1,2023M6,0,0
2-1564532-1,2023M6,8890,5725
2-1564542-1,2023M6,4537,8129
2-1564544-1,2023M6,389,623
2-1564546-1,2023M6,2694,3174
2-1670730-1,2023M6,2645,4635
2-1670894-1,2023M6,0,0
2-1670901-1,2023M6,3238,2103
2-1703639-1,2023M6,137944,140783
2-1703773-1,2023M6,135,263
2-1703808-1,2023M6,1117,1610
2-1703818-1,2023M6,17840,34589
2-1703839-1,2023M6,2541,2578
2-1703841-1,2023M6,3766,5153
2-1703843-1,2023M6,35346,51659
2-1718324-1,2023M6,134531,30007
2-1823498-1,2023M6,5353,711
2-2293551-1,2023M6,6871,1638
2-2299782-2,2023M6,8449,5009
2-2303816-2,2023M6,0,0
2-2322907-2,2023M6,778,212
2-2323294-1,2023M6,4196,4200
2035378-2,2023M6,233,290
2098148-2,2023M6,2864,191
2098150-2,2023M6,3107,285
2098237-1,2023M6,200,217
2098237-2,2023M6,0,0
2098993-2,2023M6,1022,29
2138576-2,2023M6,108536,3337
2272733-3,2023M6,117315,13600
2272809-1,2023M6,10072,264
2289630-1,2023M6,2406,2700
2289831-1,2023M6,6528,623
2293819-1,2023M6,4253,608
2293821-1,2023M6,3919,588
2293822-1,2023M6,5600,804
2293823-1,2023M6,2915,400
2296610-1,2023M6,221,161
2297129-1,2023M6,0,0
2298173-1,2023M6,3655,745
2298287-1,2023M6,10490,11262
2301339-1,2023M6,2481,142
2310358-1,2023M6,4895,4695
2312536-1,2023M6,30051,20871
2315361-1,2023M6,46786,1440
2320466-1,2023M6,2630,4605
2320931-2,2023M6,0,0
2333580-1,2023M6,6804,504
2333581-1,2023M6,0,0
2338506-1,2023M6,12519,763
2338506-2,2023M6,98001,5149
2338508-1,2023M6,92697,7081
2338508-2,2023M6,43275,3199
2338508-3,2023M6,188582,11463
2338508-4,2023M6,66685,3925
2342916-1,2023M6,11197,651
2350937-1,2023M6,30408,6818
2357722-1,2023M6,8574,9109
2358801-1,2023M6,4036,640
2358801-2,2023M6,1009,160
2369194-1,2023M6,32824,1729
2373445-1,2023M6,128449,10429
2375459-3,2023M6,19496,4620
2375997-2,2023M6,4197,900
2386145-1,2023M6,0,0
2386148-1,2023M6,11744,640
2819650-1,2023M6,5234,12744
3-1418390-1,2023M6,47652,85631
3-1418448-1,2023M6,25112,65548
3-1418448-2,2023M6,8300,17881
3-1418469-1,2023M6,1707,3510
3-1418483-1,2023M6,5419,12303
3-1418883-1,2023M6,37407,7642
3-1437290-7,2023M6,297566,117124
3-1437290-8,2023M6,61537,18801
3-1437290-9,2023M6,22019,5459
3-1447221-3,2023M6,255280,3795737
3-1447221-4,2023M6,273098,3996884
3-1563510-1,2023M6,74656,4460
3-1563510-2,2023M6,78744,4704
3-1563510-3,2023M6,99889,5979
3-1563510-4,2023M6,98160,5875
3-1563759-1,2023M6,13130,15831
3-1564337-1,2023M6,13000,13934
3-1564412-1,2023M6,1231,1231
3-1564526-1,2023M6,3998,2846
3-1564528-1,2023M6,379,385
3-1564532-1,2023M6,7999,3908
3-1670730-1,2023M6,73,92
3-1670901-1,2023M6,1886,1529
3-1703639-1,2023M6,10886,10080
3-1703839-1,2023M6,1211,1568
3-1703841-1,2023M6,3168,5772
3-1703843-1,2023M6,19786,29766
3-1718324-1,2023M6,43530,8507
3-1719528-1,2023M6,97376,6168
3-1719528-2,2023M6,91553,5799
3-1719528-3,2023M6,10216,648
3-1719528-4,2023M6,7567,480
3-1823498-1,2023M6,917,99
3-966140-1,2023M6,11256,8291
3-966140-2,2023M6,2501,2138
3-966140-3,2023M6,9729,9637
3-966140-4,2023M6,1602,2247
3-966140-5,2023M6,0,0
3-966140-6,2023M6,22246,13181
4-1418390-1,2023M6,48145,86807
4-1418448-1,2023M6,26898,55743
4-1418448-2,2023M6,18469,39539
4-1418483-1,2023M6,3344,9136
4-1418883-1,2023M6,21071,3606
4-1437290-0,2023M6,270609,112386
4-1437290-1,2023M6,137768,50845
4-1563759-1,2023M6,10165,10123
4-1564337-1,2023M6,16152,18018
4-1564412-1,2023M6,2400,1231
4-1564514-1,2023M6,0,0
4-1564526-1,2023M6,1723,1231
4-1670730-1,2023M6,0,0
4-1703841-1,2023M6,797,1273
4-1703843-1,2023M6,34274,55575
4-966140-6,2023M6,0,0
5-1718321-3,2023M6,391615,110984
5-1718323-1,2023M6,146011,71308
5-2208684-3,2023M6,82676,22519
6-1718321-3,2023M6,93042,21447
6-1718323-1,2023M6,11545,4049
6-2208684-3,2023M6,40541,11402
770669-1,2023M6,1176,273
770669-4,2023M6,2308,605
770680-1,2023M6,579351,181898
770680-2,2023M6,23967,6906
770680-4,2023M6,62227,19556
770680-5,2023M6,12385,3175
776087-1,2023M6,215950,59201
776087-2,2023M6,15228,3331
776087-4,2023M6,3336,758
776087-5,2023M6,533,83
776163-1,2023M6,254891,60470
776163-2,2023M6,4017,566
776163-4,2023M6,2390,348
776163-5,2023M6,0,0
776164-1,2023M6,506250,110419
776164-2,2023M6,78661,17989
776164-5,2023M6,108195,20524
776164-6,2023M6,9032,1535
776180-1,2023M6,8601,1307
776180-4,2023M6,872,141
776180-5,2023M6,1619,226
776184-1,2023M6,13112,698
776184-2,2023M6,4867,588
776184-3,2023M6,13096,600
776184-4,2023M6,0,0
776184-5,2023M6,14718,1584
776200-1,2023M6,1080,200
776200-4,2023M6,644,214
776228-1,2023M6,46103,13124
776228-4,2023M6,21879,5997
776230-1,2023M6,15557,3512
776230-2,2023M6,0,0
776230-4,2023M6,249,43
776231-1,2023M6,221675,47532
776231-2,2023M6,35953,6200
776231-5,2023M6,116950,21214
776261-1,2023M6,6429,3130
776261-5,2023M6,3016,1109
776262-1,2023M6,70263,26256
776262-4,2023M6,10954,3119
776266-1,2023M6,1574,581
776267-1,2023M6,214329,88395
776267-5,2023M6,1338,407
776273-1,2023M6,378549,159255
776273-2,2023M6,5690,2345
776273-4,2023M6,19476,7349
776275-1,2023M6,3600,1728
776276-1,2023M6,94321,34487
776280-1,2023M6,33519,12661
776280-2,2023M6,9607,3159
776286-1,2023M6,272550,137658
776286-2,2023M6,34156,15861
776358-5,2023M6,0,0
776427-1,2023M6,53750,134895
776427-2,2023M6,11266,21991
776427-3,2023M6,6881,17887
776427-4,2023M6,3488,9387
776429-1,2023M6,36610,73132
776429-2,2023M6,12872,29891
776429-3,2023M6,5930,12784
776429-4,2023M6,9834,22682
776433-1,2023M6,38403,45514
776433-2,2023M6,10149,13742
776433-3,2023M6,9119,10685
776434-1,2023M6,26091,28568
776434-2,2023M6,1860,2627
776434-3,2023M6,2812,3983
776437-1,2023M6,92380,58151
776437-2,2023M6,25093,15696
776437-3,2023M6,17594,11803
776437-4,2023M6,5045,3278
776438-1,2023M6,40960,28260
776438-2,2023M6,9024,6218
776438-3,2023M6,4437,2969
776438-4,2023M6,2629,1835
776487-1,2023M6,27105,44749
776487-2,2023M6,2869,4080
776487-3,2023M6,0,0
776487-4,2023M6,642,555
776494-1,2023M6,40409,37745
776494-2,2023M6,2033,1928
776494-3,2023M6,219,129
776494-4,2023M6,364,168
776495-1,2023M6,17368,15831
776495-2,2023M6,1463,1368
776495-3,2023M6,62,40
776495-4,2023M6,254,76
776497-5,2023M6,44046,5897
776497-6,2023M6,46337,6200
776522-1,2023M6,89047,229945
776522-2,2023M6,29276,79030
776522-3,2023M6,7692,17670
776522-4,2023M6,27152,73505
776523-1,2023M6,97428,212642
776523-2,2023M6,17651,40909
776523-3,2023M6,20583,39685
776523-4,2023M6,13860,30921
776524-1,2023M6,63939,104570
776524-2,2023M6,3581,6682
776524-3,2023M6,3272,6131
776524-4,2023M6,1417,1946
776531-1,2023M6,107960,139374
776531-2,2023M6,55060,68962
776531-3,2023M6,3440,4759
776532-1,2023M6,82433,70799
776532-2,2023M6,6115,5863
776532-3,2023M6,7203,6254
776532-4,2023M6,88,62
776533-1,2023M6,194681,118953
776533-2,2023M6,51620,32924
776533-3,2023M6,45893,29084
776533-4,2023M6,2477,1463
776537-1,2023M6,27556,37971
776537-2,2023M6,14041,18258
776537-3,2023M6,0,0
776538-1,2023M6,30188,28685
776538-2,2023M6,5815,5877
776538-3,2023M6,3284,3015
776538-4,2023M6,0,0
776539-1,2023M6,77673,51594
776539-2,2023M6,16476,11199
776539-3,2023M6,24592,16420
776539-4,2023M6,3065,1960
776603-1,2023M6,9371,1260
8-966140-6,2023M6,2609,1018
9-1355890-1,2023M6,36528,11086
9-966140-1,2023M6,43162,27402
9-966140-2,2023M6,79844,58020
9-966140-3,2023M6,61846,53067
9-966140-4,2023M6,40021,37844
9-966140-5,2023M6,6472,7203
9-966140-6,2023M6,63178,38054
94202103,2023M6,35638,1560
966140-1,2023M6,26708,21347
966140-3,2023M6,43980,46525
966140-4,2023M6,12045,14365
966140-5,2023M6,6758,8145
966140-6,2023M6,7982,3563
967362-1,2023M6,7657,2048
967686-3,2023M6,116699,33024
967686-5,2023M6,10680,2816
967686-6,2023M6,11264,3712
967686-8,2023M6,0,0
AEC14-40PA,2023M6,7922,919
AEC14-40PAE-E019,2023M6,18198,2447
AEC14-40PB,2023M6,319,36
AEC14-40PBE-E019,2023M6,1898,185
AEC14-40PC,2023M6,757,43
AEC16-40SA,2023M6,5478,956
AEC16-40SAE,2023M6,0,0
AEC16-40SAE-E019,2023M6,19539,3062
AEC16-40SB,2023M6,3452,577
AEC16-40SBE-E019,2023M6,1884,220
AEC16-40SBT-K001,2023M6,127,20
AEC16-40SC,2023M6,1374,196
AEC16-40SD,2023M6,2891,517
AEC17-40PA,2023M6,3273,96
AEC17-40PB,2023M6,4183,120
AEC17-40PC,2023M6,8287,240
AEC17-40PD,2023M6,9844,288
DRC10-24PA-A004,2023M6,18670,1469
DRC10-40P-A004,2023M6,18996,921
DRC12-24PA,2023M6,26848,3403
DRC12-24PAE,2023M6,19690,2052
DRC12-24PB,2023M6,3647,411
DRC12-24PBE,2023M6,2828,262
DRC12-24PC,2023M6,593,64
DRC12-40PA,2023M6,50578,5918
DRC12-40PAE,2023M6,36108,3875
DRC12-40PB,2023M6,12301,1140
DRC12-40PBE,2023M6,2032,107
DRC12-40PC,2023M6,1607,139
DRC12-70PA,2023M6,58745,4283
DRC12-70PAE,2023M6,87480,6493
DRC12-70PB,2023M6,11237,659
DRC12-70PBE,2023M6,18234,1302
DRC12-70PCE,2023M6,1115,49
DRC12-70PD,2023M6,175,7
DRC12-70PDE,2023M6,0,0
DRC14-24PA,2023M6,5642,583
DRC14-24PAE,2023M6,1651,179
DRC14-40PA,2023M6,9999,1011
DRC14-70PA,2023M6,1559,109
DRC16-24SA,2023M6,25438,3042
DRC16-24SA-P013,2023M6,17791,2609
DRC16-24SAE,2023M6,14133,1620
DRC16-24SAE-P013,2023M6,2430,189
DRC16-24SB-P013,2023M6,3403,420
DRC16-24SBE-P013,2023M6,24748,1807
DRC16-24SC,2023M6,255,21
DRC16-24SC-P013,2023M6,919,104
DRC16-40S,2023M6,44406,3602
DRC16-40S-P013,2023M6,26349,2739
DRC16-40SE,2023M6,16152,1205
DRC16-70SA,2023M6,27343,1928
DRC16-70SA-P013,2023M6,57807,3621
DRC16-70SA-P066,2023M6,0,0
DRC16-70SA-PP05,2023M6,2098,150
DRC16-70SAE,2023M6,35633,2479
DRC16-70SAE-P013,2023M6,35487,2719
DRC16-70SAE-P013UK,2023M6,10530,595
DRC16-70SAE-P066,2023M6,8061,567
DRC16-70SB,2023M6,3597,234
DRC16-70SB-P013,2023M6,7256,500
DRC16-70SB-P066,2023M6,0,0
DRC16-70SB-PP05,2023M6,774,50
DRC16-70SBE,2023M6,6832,452
DRC16-70SBE-P013,2023M6,17368,1151
DRC16-70SBE-P013UK,2023M6,8473,467
DRC16-70SBE-P066,2023M6,0,0
DRC16-70SC,2023M6,1294,58
DRC16-70SC-P013,2023M6,1751,82
DRC16-70SCE,2023M6,18026,1278
DRC16-70SCE-P013,2023M6,11574,673
DRC16-70SCE-P013UK,2023M6,22857,1288
DRC16-70SD-P013,2023M6,302,19
DRC16-70SDE,2023M6,11020,736
DRC16-70SDE-P013UK,2023M6,27406,1553
DRC18-40SA,2023M6,15565,1166
DRC18-40SA-P013,2023M6,40191,3683
DRC18-40SAE,2023M6,19313,1451
DRC18-40SAE-P013,2023M6,38507,2188
DRC18-40SB,2023M6,7543,547
DRC18-40SB-P013,2023M6,10768,934
DRC18-40SBE,2023M6,2424,114
DRC18-40SBE-P013,2023M6,3279,284
DRC18-40SC-P013,2023M6,3787,353
DRC18-40SCE-P013,2023M6,1353,125
DRC20-50P01,2023M6,46280,2972
DRC20-50P02,2023M6,1241,88
DRC20-50P03,2023M6,965,40
DRC20-50P04,2023M6,8797,496
DRC20-50P05,2023M6,6312,423
DRC20-50P08,2023M6,6471,568
DRC20-60P05,2023M6,4902,375
DRC20-60P06,2023M6,5874,448
DRC22-40PA,2023M6,13638,910
DRC22-50P01,2023M6,22816,1240
DRC22-50P02,2023M6,12405,715
DRC22-50P03,2023M6,8463,449
DRC22-50P04,2023M6,2338,211
DRC22-50P05,2023M6,2209,199
DRC23-24PA,2023M6,18937,912
DRC23-24PB,2023M6,589,24
DRC23-40PA-N012,2023M6,97499,4357
DRC23-40PB-N010,2023M6,69301,6240
DRC23-40PB-N012,2023M6,56248,2398
DRC23-40PC-N012,2023M6,8757,310
DRC23-64PAA,2023M6,61413,2024
DRC23-64PAA-N010,2023M6,111469,8426
DRC23-80P,2023M6,33308,418
DRC26-24SA,2023M6,70171,9067
DRC26-24SB,2023M6,165,11
DRC26-38S01-P017,2023M6,34372,3217
DRC26-38S02-P017,2023M6,31275,3790
DRC26-40SA,2023M6,71940,9693
DRC26-40SA-L011,2023M6,37268,3695
DRC26-40SB,2023M6,23469,3026
DRC26-40SB-L011,2023M6,7396,584
DRC26-50S01,2023M6,116992,12642
DRC26-50S02,2023M6,18161,1821
DRC26-50S03,2023M6,4720,422
DRC26-50S04,2023M6,46820,5188
DRC26-50S05,2023M6,5824,547
DRC26-50S07,2023M6,38261,4353
DRC26-50S08,2023M6,3685,357
DRC26-50S09,2023M6,0,0
DRC26-60S05,2023M6,38542,5140
DRC26-60S06,2023M6,43042,4150
DRC26-60S07,2023M6,15872,1682
DRCP25-126PAA-G003,2023M6,0,0
DRCP25-86PAA-G003,2023M6,3282,89
DRCP25-86PAA-G005,2023M6,249925,23548
DRCP25-86PBB-GC03,2023M6,12897,240
DRCP25-86PBB-GC05,2023M6,98041,9783
DRCP25-86PCC-GC05,2023M6,137013,13632
DT04-08PA,2023M6,152155,138627
DT04-08PA-C015,2023M6,42945,28881
DT04-08PA-CE01,2023M6,17598,13069
DT04-08PA-CE02,2023M6,21621,15189
DT04-08PA-CE03,2023M6,25234,23914
DT04-08PA-CE04,2023M6,1228,474
DT04-08PA-CE09,2023M6,16508,6894
DT04-08PA-E003,2023M6,7048,4708
DT04-08PA-E004,2023M6,8929,7078
DT04-08PA-E005,2023M6,30832,30860
DT04-08PA-E008,2023M6,9344,5218
DT04-08PA-EP04,2023M6,6099,3197
DT04-08PA-P004,2023M6,2448,2116
DT04-08PA-P021,2023M6,9535,1699
DT04-08PA-P026,2023M6,10897,2392
DT04-08PA-P028,2023M6,97,9
DT04-08PB,2023M6,8229,4801
DT04-08PB-C015,2023M6,5511,3111
DT04-08PB-CE01,2023M6,7816,5086
DT04-08PB-E003,2023M6,237,116
DT04-08PB-P021,2023M6,9376,1672
DT04-08PB-P026,2023M6,11045,2206
DT04-08PB-P028,2023M6,12059,2813
DT04-08PC,2023M6,2563,1656
DT04-08PC-C015,2023M6,660,339
DT04-08PC-CE01,2023M6,0,0
DT04-08PC-E003,2023M6,1244,786
DT04-12PA,2023M6,184432,125791
DT04-12PA-B016,2023M6,17103,12475
DT04-12PA-BE02,2023M6,12215,5126
DT04-12PA-BE03,2023M6,93127,58341
DT04-12PA-BE04,2023M6,17038,10091
DT04-12PA-C015,2023M6,40999,23298
DT04-12PA-CE01,2023M6,10695,4588
DT04-12PA-CE02,2023M6,44962,24484
DT04-12PA-CE03,2023M6,42039,25663
DT04-12PA-CE04,2023M6,6151,2333
DT04-12PA-CE07,2023M6,54823,33960
DT04-12PA-CE08,2023M6,8749,5691
DT04-12PA-CE09,2023M6,8972,2760
DT04-12PA-E004,2023M6,21012,13517
DT04-12PA-E005,2023M6,4209,2375
DT04-12PA-EP04,2023M6,119,27
DT04-12PA-P004,2023M6,3869,2513
DT04-12PA-P016,2023M6,9415,1081
DT04-12PA-P021,2023M6,25183,4357
DT04-12PA-P026,2023M6,53127,9589
DT04-12PA-P027,2023M6,5114,399
DT04-12PA-P030,2023M6,10906,1741
DT04-12PA-P031,2023M6,16237,1442
DT04-12PA-P075,2023M6,20970,4050
DT04-12PB,2023M6,20334,10154
DT04-12PB-B016,2023M6,6926,3479
DT04-12PB-BE02,2023M6,39119,23765
DT04-12PB-C015,2023M6,15202,7555
DT04-12PB-CE01,2023M6,490,210
DT04-12PB-CE07,2023M6,41001,20286
DT04-12PB-CE08,2023M6,890,361
DT04-12PB-P016,2023M6,6522,661
DT04-12PB-P021,2023M6,28519,4840
DT04-12PB-P026,2023M6,19903,3467
DT04-12PB-P027,2023M6,56152,7069
DT04-12PB-P030,2023M6,7539,1272
DT04-12PB-P031,2023M6,13,1
DT04-12PC,2023M6,4733,2397
DT04-12PC-B016,2023M6,3288,1540
DT04-12PC-BE02,2023M6,5196,2981
DT04-12PC-C015,2023M6,2464,1213
DT04-12PC-CE01,2023M6,94,40
DT04-12PC-CE07,2023M6,6383,2938
DT04-12PD,2023M6,1164,496
DT04-12PD-B016,2023M6,1806,785
DT04-12PD-C015,2023M6,256,90
DT04-12PD-CE07,2023M6,15633,6509
DT04-2P,2023M6,267106,1077375
DT04-2P-C015,2023M6,36273,144487
DT04-2P-CE01,2023M6,35776,88993
DT04-2P-CE02,2023M6,52179,178483
DT04-2P-CE03,2023M6,81639,254600
DT04-2P-CE04,2023M6,10971,19535
DT04-2P-CE09,2023M6,19834,34703
DT04-2P-E003,2023M6,15888,27122
DT04-2P-E004,2023M6,59495,238781
DT04-2P-E005,2023M6,134711,421966
DT04-2P-E008,2023M6,13220,22913
DT04-2P-N006,2023M6,145812,27514
DT04-2P-RT01,2023M6,158774,63617
DT04-2P-RT02,2023M6,60782,16399
DT04-2P-RT06,2023M6,4316,1441
DT04-2P-RT21,2023M6,0,0
DT04-2P-RT22,2023M6,32698,5791
DT04-2P-RT25,2023M6,4229,603
DT04-2P-RT26,2023M6,0,0
DT04-3P,2023M6,155176,441924
DT04-3P-C015,2023M6,28462,71374
DT04-3P-C017,2023M6,2789,1955
DT04-3P-CE01,2023M6,3705,5104
DT04-3P-CE02,2023M6,17451,40355
DT04-3P-CE03,2023M6,69110,121412
DT04-3P-CE04,2023M6,5908,6984
DT04-3P-CE09,2023M6,21133,19238
DT04-3P-E004,2023M6,38938,100464
DT04-3P-E005,2023M6,53640,123301
DT04-3P-E008,2023M6,31980,40869
DT04-3P-EE01,2023M6,21712,21820
DT04-3P-EP04,2023M6,0,0
DT04-3P-P004,2023M6,1765,4553
DT04-3P-P007,2023M6,235260,41137
DT04-4P,2023M6,200973,382024
DT04-4P-B033,2023M6,8490,3399
DT04-4P-C015,2023M6,80722,137574
DT04-4P-C017,2023M6,4791,2678
DT04-4P-CE01,2023M6,7587,8850
DT04-4P-CE02,2023M6,37590,63811
DT04-4P-CE03,2023M6,58524,85266
DT04-4P-CE04,2023M6,12543,7236
DT04-4P-CE09,2023M6,36107,24453
DT04-4P-E003,2023M6,11235,14657
DT04-4P-E004,2023M6,70886,145166
DT04-4P-E005,2023M6,79432,149342
DT04-4P-E008,2023M6,54889,33233
DT04-4P-EP04,2023M6,1115,1048
DT04-4P-EP13,2023M6,43501,10065
DT04-4P-P004,2023M6,730,1076
DT04-4P-P021,2023M6,10790,2200
DT04-4P-RT01,2023M6,124493,14983
DT04-4P-RT03,2023M6,58348,5831
DT04-6P,2023M6,228418,290357
DT04-6P-C015,2023M6,26616,31749
DT04-6P-CE01,2023M6,3844,3987
DT04-6P-CE02,2023M6,63760,86386
DT04-6P-CE03,2023M6,74673,83140
DT04-6P-CE09,2023M6,32842,16855
DT04-6P-E004,2023M6,61443,74476
