snapshot_date,material_number,region,past_due_amt,past_due_qty
2023-03-27,1062-16-0988,EMEA,9574.52,60667
2023-03-27,1062-16-1222,APAC,536.64,4000
2023-03-27,1062-16-1222,EMEA,58782.75,672000
2023-03-27,1062-16-1222,EMEA,136.57,800
2023-03-27,1062-16-1222,AMER,89104.32,768000
2023-03-27,1062-16-1222-PS,AMER,57.77,100
2023-03-27,1062-16-1422,EMEA,10921.75,116000
2023-03-27,1062-16-1422,EMEA,1166.91,16000
2023-03-27,1062-20-0122,APAC,545498.71,8120800
2023-03-27,1062-20-0122,EMEA,87170.49,1392000
2023-03-27,1062-20-0122,EMEA,21223.43,212000
2023-03-27,1062-20-0122,APAC,2364.93,32000
2023-03-27,1062-20-0122,EMEA,2088.48,28000
2023-03-27,1062-20-0122,AMER,161390.72,1883000
2023-03-27,1062-20-0122,AMER,1058.44,8000
2023-03-27,1062-20-0122-PS,AMER,606.77,1450
2023-03-27,1062-20-0144,APAC,11663.89,56000
2023-03-27,1062-20-0144,EMEA,27535.74,140000
2023-03-27,1062-20-0144,APAC,3033.41,16000
2023-03-27,1062-20-0144,AMER,44693.27,220000
2023-03-27,1062-20-0144-PS,AMER,637.88,700
2023-03-27,1062-20-0177,EMEA,393.44,3000
2023-03-27,1062-20-0222,APAC,1184.21,16000
2023-03-27,1062-20-0222,EMEA,8578.01,92000
2023-03-27,1062-20-0222,EMEA,4236.14,60000
2023-03-27,1062-20-0222,AMER,24827.68,384000
2023-03-27,1062-20-0244,APAC,5299.2,16000
2023-03-27,1062-20-0377,AMER,376.6,4000
2023-03-27,106462-1,APAC,444.62,1020
2023-03-27,106462-1,EMEA,430.64,1020
2023-03-27,109853-1,EMEA,613.54,112
2023-03-27,109858-000,EMEA,1118.82,500
2023-03-27,1-120035-0,AMER,170.36,0
2023-03-27,1-120035-1,AMER,1986.15,0
2023-03-27,112263-90,APAC,1105.58,1500
2023-03-27,112263-90,EMEA,1222.07,1700
2023-03-27,112263-90,AMER,506.27,305
2023-03-27,112264-ZZ,APAC,359.48,1000
2023-03-27,112264-ZZ,APAC,1070.86,2600
2023-03-27,112264-ZZ,EMEA,833.9,1270
2023-03-27,112264-ZZ,EMEA,103.88,200
2023-03-27,112264-ZZ,AMER,227.55,300
2023-03-27,1123343-1,APAC,25601.59,2000000
2023-03-27,1123350-1,APAC,340.36,1200
2023-03-27,1123794-8,APAC,5509.36,2100
2023-03-27,1-1241324-1,APAC,373.2,5000
2023-03-27,1-1241418-3,EMEA,4331.91,6000
2023-03-27,1-1318384-9,APAC,2821.39,4725
2023-03-27,1-1337111-0,EMEA,2421.32,240
2023-03-27,1-1337426-0,EMEA,75.79,50
2023-03-27,1-1355122-2,APAC,1293.14,3000
2023-03-27,1-1355133-1,APAC,469.48,1008
2023-03-27,1-1355133-1,AMER,306.52,504
2023-03-27,1-1355134-1,APAC,450.75,9000
2023-03-27,1-1355200-1,APAC,246.28,1000
2023-03-27,1-1355200-1,AMER,308.11,1000
2023-03-27,1-1355222-1,APAC,3514.64,2160
2023-03-27,1-1355222-1,EMEA,1998.96,1440
2023-03-27,1-1355222-9,EMEA,5.78,4
2023-03-27,1-1355338-1,APAC,2578.07,11000
2023-03-27,1-1355849-1,APAC,1443.39,3300
2023-03-27,1-1394450-2,APAC,623.99,4000
2023-03-27,1-1394453-2,EMEA,26319.87,5152
2023-03-27,1-1394765-1,AMER,4385.86,4158
2023-03-27,114017-ZZ,APAC,9780.33,534416
2023-03-27,114017-ZZ,EMEA,364.66,31000
2023-03-27,114017-ZZ,EMEA,3730.7,240000
2023-03-27,114017-ZZ,APAC,1912.8,100000
2023-03-27,114017-ZZ,EMEA,447.31,10000
2023-03-27,114017-ZZ,AMER,6679.7,489660
2023-03-27,114018-ZZ,APAC,326.12,1030
2023-03-27,114018-ZZ,AMER,70.77,300
2023-03-27,114019-ZZ,APAC,1509.64,5477
2023-03-27,114019-ZZ,AMER,7.86,50
2023-03-27,114020-90,APAC,6609.63,7370
2023-03-27,114020-90,EMEA,58.08,80
2023-03-27,114020-90,APAC,3096.53,2000
2023-03-27,114020-90,AMER,16824.09,13941
2023-03-27,114021-ZZ,APAC,2277.05,5200
2023-03-27,114021-ZZ,AMER,29.55,105
2023-03-27,1-1411552-1,APAC,3885.16,87500
2023-03-27,1-1418390-1,APAC,81463.54,146000
2023-03-27,1-1418390-1,EMEA,38958.97,79600
2023-03-27,1-1418390-1,EMEA,12193.72,21203
2023-03-27,1-1418390-1,EMEA,191.17,400
2023-03-27,1-1418437-1,APAC,2897.44,2660
2023-03-27,1-1418437-1,EMEA,1654.75,3420
2023-03-27,1-1418437-1,AMER,543.22,380
2023-03-27,1-1418448-1,APAC,37627.93,86800
2023-03-27,1-1418448-1,EMEA,13600.27,35948
2023-03-27,1-1418448-1,EMEA,140.63,350
2023-03-27,1-1418448-1,EMEA,5951.14,14350
2023-03-27,1-1418448-2,APAC,8229.06,17500
2023-03-27,1-1418448-2,EMEA,9809.51,25900
2023-03-27,1-1418448-2,EMEA,881.72,2100
2023-03-27,1-1418448-2,EMEA,652.88,1750
2023-03-27,1-1418469-1,APAC,13045.35,20800
2023-03-27,1-1418469-1,EMEA,1989.25,4400
2023-03-27,1-1418469-1,EMEA,401.67,800
2023-03-27,1-1418469-1,AMER,7191.6,10400
2023-03-27,1-1418469-1,AMER,674.84,1200
2023-03-27,1-1418479-1,APAC,12744.79,17860
2023-03-27,1-1418479-1,EMEA,567.61,1140
2023-03-27,1-1418479-1,EMEA,3233.33,5320
2023-03-27,1-1418479-1,AMER,8369.76,10650
2023-03-27,1-1418480-1,APAC,22912.98,25460
2023-03-27,1-1418480-1,EMEA,20493.73,36100
2023-03-27,1-1418480-1,EMEA,621.93,1140
2023-03-27,1-1418483-1,APAC,64608.56,138600
2023-03-27,1-1418483-1,EMEA,3171.36,7700
2023-03-27,1-1418483-1,EMEA,281.25,700
2023-03-27,1-1418483-1,EMEA,2937.32,7700
2023-03-27,1-1418483-1,AMER,1010.03,2100
2023-03-27,1-1418507-1,AMER,235.75,1500
2023-03-27,1-1418743-1,APAC,2351.16,1750
2023-03-27,1-1418775-1,APAC,2085.81,10000
2023-03-27,1-1418883-1,APAC,103876.75,26676
2023-03-27,1-1418883-1,EMEA,46001.18,13341
2023-03-27,1-1418883-1,APAC,1024.68,234
2023-03-27,1-1418883-1,EMEA,397.91,117
2023-03-27,1-1419158-6,AMER,527.01,33000
2023-03-27,1-1419168-1,APAC,4313.6,7200
2023-03-27,1-1419168-1,EMEA,44.12,100
2023-03-27,1-1452222-9,AMER,10708.42,4320
2023-03-27,1-1452424-2,APAC,14957.86,150000
2023-03-27,1-1456426-5,APAC,2141.44,4000
2023-03-27,1-1456841-1,EMEA,247.4,30000
2023-03-27,1-1534096-2,APAC,733.9,2500
2023-03-27,1-1534097-1,APAC,746.4,2000
2023-03-27,1-1534113-1,APAC,39406.5,210000
2023-03-27,1-1534121-1,APAC,7913.33,30000
2023-03-27,1-1534127-1,APAC,9482.26,2080
2023-03-27,1-1534127-1,EMEA,617.98,280
2023-03-27,1-1534127-1,AMER,1630.7,640
2023-03-27,1-1534170-1,APAC,2422.2,17528
2023-03-27,1-1534229-1,APAC,913.59,900
2023-03-27,1-1544408-3,APAC,1642.08,50000
2023-03-27,115607J001,APAC,173.53,450
2023-03-27,1-1563337-1,AMER,57.21,100
2023-03-27,1-1563759-1,APAC,13563.46,8280
2023-03-27,1-1563759-1,EMEA,15866.83,19090
2023-03-27,1-1563759-1,EMEA,3758.09,3910
2023-03-27,1-1563759-1,EMEA,5227.2,6210
2023-03-27,1-1563759-1,AMER,507.09,460
2023-03-27,1-1563878-1,APAC,5772.96,5060
2023-03-27,1-1563878-1,EMEA,29166.07,26680
2023-03-27,1-1563878-1,EMEA,13044.2,11270
2023-03-27,1-1564297-6,APAC,162370.61,28548
2023-03-27,1-1564297-6,EMEA,1757.2,351
2023-03-27,1-1564297-6,AMER,13.53,1
2023-03-27,1-1564330-1,APAC,23469.38,19320
2023-03-27,1-1564330-1,EMEA,27729.49,27916
2023-03-27,1-1564330-1,EMEA,232.02,201
2023-03-27,1-1564330-1,EMEA,724.29,920
2023-03-27,1-1564330-1,AMER,3809.2,3494
2023-03-27,1-1564337-1,APAC,4017.11,3680
2023-03-27,1-1564337-1,EMEA,22040.06,25990
2023-03-27,1-1564337-1,EMEA,15056.23,11960
2023-03-27,1-1564337-1,EMEA,5891.42,5750
2023-03-27,1-1564337-1,AMER,1119.65,1152
2023-03-27,1-1564337-1,AMER,792.37,690
2023-03-27,1-1564407-1,APAC,35333.46,24915
2023-03-27,1-1564407-1,EMEA,4779.29,3300
2023-03-27,1-1564407-1,EMEA,4674.22,3150
2023-03-27,1-1564407-1,EMEA,3393.68,2250
2023-03-27,1-1564412-1,APAC,1119.6,1000
2023-03-27,1-1564412-1,EMEA,2905.63,3000
2023-03-27,1-1564412-1,EMEA,115.87,100
2023-03-27,1-1564412-1,EMEA,973.93,800
2023-03-27,1-1564412-1,AMER,579.27,400
2023-03-27,1-1564414-1,APAC,2134.5,1960
2023-03-27,1-1564414-1,EMEA,189.48,168
2023-03-27,1-1564414-1,EMEA,875.82,840
2023-03-27,1-1564416-1,APAC,6757.27,5750
2023-03-27,1-1564416-1,APAC,27868.13,25500
2023-03-27,1-1564416-1,EMEA,98242.7,105374
2023-03-27,1-1564416-1,EMEA,181.45,250
2023-03-27,1-1564416-1,AMER,17387.44,14500
2023-03-27,1-1564416-1,AMER,276.88,250
2023-03-27,1-1564512-1,APAC,12767.62,14400
2023-03-27,1-1564512-1,EMEA,12072.18,16640
2023-03-27,1-1564512-1,APAC,538.48,640
2023-03-27,1-1564512-1,EMEA,580.25,960
2023-03-27,1-1564512-1,AMER,7063.35,8000
2023-03-27,1-1564514-1,APAC,22045.81,21378
2023-03-27,1-1564514-1,EMEA,5161.7,6000
2023-03-27,1-1564516-1,APAC,19483.06,16800
2023-03-27,1-1564516-1,EMEA,937.3,560
2023-03-27,1-1564516-1,AMER,10681.56,2520
2023-03-27,1-1564518-1,APAC,6798.21,3960
2023-03-27,1-1564520-1,APAC,13956.03,10340
2023-03-27,1-1564520-1,EMEA,1063.78,880
2023-03-27,1-1564520-1,EMEA,15353.52,11000
2023-03-27,1-1564522-1,EMEA,3262.83,2100
2023-03-27,1-1564522-1,EMEA,4957.92,3360
2023-03-27,1-1564526-1,APAC,54455.72,28650
2023-03-27,1-1564526-1,EMEA,735.85,300
2023-03-27,1-1564526-1,AMER,8419.44,4200
2023-03-27,1-1564528-1,AMER,531.56,400
2023-03-27,1-1564534-1,APAC,2283.98,1800
2023-03-27,1-1564534-1,EMEA,466.59,200
2023-03-27,1-1564534-1,EMEA,2.31,1
2023-03-27,1-1564534-1,EMEA,224.15,200
2023-03-27,1-1564536-1,APAC,2955.74,1800
2023-03-27,1-1564536-1,EMEA,707.14,300
2023-03-27,1-1564536-1,EMEA,427.25,300
2023-03-27,1-1564542-1,APAC,616.2,1140
2023-03-27,1-1564542-1,APAC,2405.2,3040
2023-03-27,1-1564542-1,EMEA,20675.94,40660
2023-03-27,1-1564542-1,EMEA,1405.84,2660
2023-03-27,1-1564542-1,AMER,5024.98,7220
2023-03-27,1-1564544-1,APAC,404.26,640
2023-03-27,1-1564544-1,EMEA,506.77,640
2023-03-27,1-1564544-1,EMEA,644.97,960
2023-03-27,1-1564544-1,AMER,483.05,640
2023-03-27,1-1564559-1,APAC,955.39,2000
2023-03-27,1-160759-1,EMEA,1194.71,18000
2023-03-27,1-1659283-0,APAC,1078.01,15000
2023-03-27,1-1670459-1,APAC,582.19,4000
2023-03-27,1-1670615-1,EMEA,12524.62,5440
2023-03-27,1-1670615-2,EMEA,16120.25,7040
2023-03-27,1-1670730-1,APAC,19436.26,37200
2023-03-27,1-1670730-1,EMEA,4727.47,9700
2023-03-27,1-1670730-1,EMEA,6304.55,12000
2023-03-27,1-1670730-1,AMER,1012.26,1800
2023-03-27,1-1670782-1,APAC,8397.24,2100
2023-03-27,1-1670894-1,APAC,2074.39,1800
2023-03-27,1-1670894-1,EMEA,2451.2,1200
2023-03-27,1-1670901-1,APAC,5712.9,4830
2023-03-27,1-1670916-1,APAC,1019.43,6000
2023-03-27,1-1670916-1,EMEA,7914.72,36000
2023-03-27,1-1670916-1,EMEA,275.87,2000
2023-03-27,1-1670918-1,APAC,478.61,1500
2023-03-27,1-1670919-1,APAC,955.18,3000
2023-03-27,1-1670920-1,APAC,1545.05,4000
2023-03-27,1-1670921-1,APAC,597.12,2000
2023-03-27,1-1703498-2,APAC,1343.52,3000
2023-03-27,1-1703639-1,APAC,80058.33,62100
2023-03-27,1-1703639-1,EMEA,18923.82,23700
2023-03-27,1-1703639-1,EMEA,553,600
2023-03-27,1-1703639-1,APAC,1192.6,1200
2023-03-27,1-1703639-1,EMEA,1220.54,1500
2023-03-27,1-1703639-1,AMER,15647.61,13201
2023-03-27,1-1703773-1,APAC,44332.73,75240
2023-03-27,1-1703773-1,EMEA,3984.57,7220
2023-03-27,1-1703773-1,EMEA,421.58,760
2023-03-27,1-1703773-1,AMER,1614.01,2660
2023-03-27,1-1703818-1,APAC,238.25,380
2023-03-27,1-1703818-1,EMEA,13329.92,24320
2023-03-27,1-1703820-1,APAC,11987.29,14080
2023-03-27,1-1703820-1,EMEA,422.01,640
2023-03-27,1-1703820-1,EMEA,395.68,640
2023-03-27,1-1703820-1,AMER,2455.08,2880
2023-03-27,1-1703839-1,APAC,584.34,600
2023-03-27,1-1703839-1,APAC,11980.62,11400
