material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2023M12,4357.394622,57615.44465
0021036003,AMER,2023M12,1310.063648,17845.30808
0021036015,EMEA,2023M12,128.119005,4545.0
0021036034,EMEA,2023M12,272.208634,6678.0
0081930005,EMEA,2023M12,17459.38091,400906.0
0146662002,AMER,2023M12,173.783376,78.0
0209-001-0000,EMEA,2023M12,55623.17546,10278.32013
0209-001-0000,AMER,2023M12,122540.12,19000.0
0209-002-0000,AMER,2023M12,12072.165,15000.0
0213-001-0006,AMER,2023M12,0.0,0.0
0276653001,EMEA,2023M12,423.532586,1391.615423
0285863001,AMER,2023M12,0.0,1073.62998
0311063001,EMEA,2023M12,543.19217,1363.0
0337284001,EMEA,2023M12,203.369985,91.0
035377P006,AMER,2023M12,117.789264,727.0
0395-9990,AMER,2023M12,0.0,0.0
040488-000,EMEA,2023M12,263.919446,37.0
0409-201-1800,APAC,2023M12,3841.575083,900.0
0409-201-1800,APAC,2023M12,980.122736,281.011946
0409-201-1800,EMEA,2023M12,8483.139656,1797.124301
0409-201-1800,AMER,2023M12,10417.05809,2489.0
0409-201-2400,APAC,2023M12,1829.431116,400.0
0409-201-2400,APAC,2023M12,721.167316,168.375319
0409-201-2400,EMEA,2023M12,6561.602739,1244.0
0409-201-2400,AMER,2023M12,18447.30943,3708.0
0410-241-0406,APAC,2023M12,145.850098,300.0
0410-241-0406,AMER,2023M12,5294.814517,10077.49117
0410-241-0406,AMER,2023M12,10.415731,20.219422
0413-003-1605,APAC,2023M12,1116.614871,9995.383728
0413-003-1605,EMEA,2023M12,1565.408466,22085.62474
0413-003-1605,AMER,2023M12,2073.157562,48593.46208
0413-003-1605,AMER,2023M12,280.490782,4036.377298
0413-204-2005,APAC,2023M12,28218.76378,995534.801
0413-204-2005,APAC,2023M12,882.492086,38461.53846
0413-204-2005,EMEA,2023M12,60553.895,1742130.242
0413-204-2005,AMER,2023M12,65542.5237,2815617.13
0413-204-2005,AMER,2023M12,10761.22853,291129.0
0413-214-1205,EMEA,2023M12,37.22772,62.0
0413-214-1205,AMER,2023M12,683.888969,1728.0
0413-215-1605,APAC,2023M12,3.829271,12.100717
0413-215-1605,EMEA,2023M12,507.684369,1214.914047
0413-215-1605,AMER,2023M12,1233.346517,4404.0
0413-216-2005,APAC,2023M12,0.0,0.0
0413-216-2005,EMEA,2023M12,91.146498,250.0
0413-216-2005,AMER,2023M12,13.132886,26.0
0413-217-1605,APAC,2023M12,9228.755834,51167.96013
0413-217-1605,EMEA,2023M12,23265.76617,140306.861
0413-217-1605,AMER,2023M12,70000.41111,481147.1007
0413-217-1605,AMER,2023M12,4499.620413,20997.0
0418834001,EMEA,2023M12,198.565213,727.48368
0421-203-04141,APAC,2023M12,968.98657,2971.24247
0421-203-04141,EMEA,2023M12,146.3661,300.0
0421-203-04141,AMER,2023M12,4559.307889,10584.0
0421-203-04141,AMER,2023M12,12.959894,30.861231
0426-205-0000,AMER,2023M12,17.1,45.0
0426-206-0000,AMER,2023M12,0.9,5.0
0428-204-1890,APAC,2023M12,388.078379,147.538461
0428-204-1890,EMEA,2023M12,2542.885582,1215.934242
0428-204-1890,AMER,2023M12,58.492505,22.0
0428-204-2490,APAC,2023M12,538.117267,190.461538
0428-204-2490,EMEA,2023M12,2000.664545,740.639024
0428-204-2490,AMER,2023M12,0.0,0.0
