material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M3,4150.616653,54028.82782
0021036003,AMER,2024M3,751.139872,9545.435627
0021036015,EMEA,2024M3,128.119005,4545.0
0021036034,EMEA,2024M3,272.208634,6678.0
0081930005,EMEA,2024M3,17459.38092,400906.0
0146662002,AMER,2024M3,180.734708,81.12
0209-001-0000,EMEA,2024M3,52754.33866,9748.202549
0209-001-0000,AMER,2024M3,66062.02364,10243.0
0209-002-0000,AMER,2024M3,10225.12375,12705.0
0213-001-0006,AMER,2024M3,0.0,0.0
0276653001,EMEA,2024M3,423.532585,1391.615423
0285863001,AMER,2024M3,0.0,698.797195
0311063001,EMEA,2024M3,543.19217,1363.0
0337284001,EMEA,2024M3,0.0,0.0
035377P006,AMER,2024M3,122.500836,756.08
0395-9990,AMER,2024M3,0.0,0.0
040488-000,EMEA,2024M3,263.919446,37.0
0409-201-1800,APAC,2024M3,3851.656295,891.0
0409-201-1800,APAC,2024M3,471.155858,135.085556
0409-201-1800,EMEA,2024M3,8139.286359,1722.121002
0409-201-1800,AMER,2024M3,10481.94297,2492.050498
0409-201-2400,APAC,2024M3,1646.488011,360.0
0409-201-2400,APAC,2024M3,735.555484,171.734612
0409-201-2400,EMEA,2024M3,6552.541739,1243.0
0409-201-2400,AMER,2024M3,20340.98771,3951.7
0410-241-0406,APAC,2024M3,175.02012,360.0
0410-241-0406,AMER,2024M3,5921.359129,11253.0
0410-241-0406,AMER,2024M3,7.165168,13.909307
0413-003-1605,APAC,2024M3,1206.390766,10800.0
0413-003-1605,EMEA,2024M3,1722.205674,24693.0
0413-003-1605,AMER,2024M3,1850.785151,42834.91582
0413-003-1605,AMER,2024M3,207.101382,2980.273797
0413-204-2005,APAC,2024M3,34307.24404,1244388.109
0413-204-2005,APAC,2024M3,908.966847,39615.38461
0413-204-2005,EMEA,2024M3,58409.22515,1661631.951
0413-204-2005,AMER,2024M3,76543.56439,3103081.126
0413-204-2005,AMER,2024M3,7837.090718,216209.0
0413-214-1205,EMEA,2024M3,37.22772,62.0
0413-214-1205,AMER,2024M3,683.888968,1728.0
0413-215-1605,APAC,2024M3,3.642227,11.979707
0413-215-1605,EMEA,2024M3,523.5709,1254.0
0413-215-1605,AMER,2024M3,1742.860978,6245.1
0413-216-2005,APAC,2024M3,0.0,0.0
0413-216-2005,EMEA,2024M3,91.146498,250.0
0413-216-2005,AMER,2024M3,547.710774,2385.16
0413-217-1605,APAC,2024M3,10290.76047,56588.58837
0413-217-1605,EMEA,2024M3,19400.62251,117944.4363
0413-217-1605,AMER,2024M3,54851.64367,453123.3275
0413-217-1605,AMER,2024M3,4693.281222,21846.24
0418834001,EMEA,2024M3,198.565213,727.48368
0421-203-04141,APAC,2024M3,959.308307,2941.530042
0421-203-04141,EMEA,2024M3,0.0,0.0
0421-203-04141,AMER,2024M3,4027.34286,9338.0
0421-203-04141,AMER,2024M3,8.915344,21.229994
0426-205-0000,AMER,2024M3,16.758,44.1
0426-206-0000,AMER,2024M3,0.882,4.9
0428-204-1890,APAC,2024M3,399.720728,151.964614
0428-204-1890,EMEA,2024M3,2628.40587,1241.560516
0428-204-1890,AMER,2024M3,67.780129,22.539994
0428-204-2490,APAC,2024M3,554.260784,196.175384
0428-204-2490,EMEA,2024M3,2435.174299,907.681919
0428-204-2490,AMER,2024M3,0.0,0.0
0428-205-1890,EMEA,2024M3,800.532414,384.0
0428-205-2490,EMEA,2024M3,312.664949,150.0
0428-205-2490,AMER,2024M3,74.9496,34.0
0428-205-2490-F,AMER,2024M3,58.625232,15.0
043885-000,AMER,2024M3,104.294115,4545.0
0460-002-1631,AMER,2024M3,115.401822,133.0
0460-010-20141,APAC,2024M3,0.0,0.0
0460-010-20141,APAC,2024M3,2632.046784,2852.307692
0460-010-20141,EMEA,2024M3,10218.88745,25763.87955
0460-010-20141,AMER,2024M3,58987.28652,149079.75
0460-010-20141,AMER,2024M3,86.811591,270.865543
0460-010-2031,EMEA,2024M3,3549.14564,2995.561304
0460-010-2031,AMER,2024M3,18114.28833,27212.49285
0460-202-16141,APAC,2024M3,49764.01081,393284.6154
0460-202-16141,APAC,2024M3,18431.49672,120755.9231
0460-202-16141,EMEA,2024M3,138730.4464,973196.0
0460-202-16141,AMER,2024M3,263329.0609,2347592.0
0460-202-16141,AMER,2024M3,4021.810819,19795.06556
0460-202-1631,APAC,2024M3,18176.45965,76580.0
0460-202-1631,APAC,2024M3,7902.504204,27542.82321
