material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M10,4122.855046,53557.28681
0021036003,AMER,2024M10,894.198385,11363.41369
0021036015,EMEA,2024M10,128.119005,4545.0
0021036034,EMEA,2024M10,272.208634,6678.0
0081930005,EMEA,2024M10,17459.38091,400906.0
0146662002,AMER,2024M10,180.734708,81.12
0209-001-0000,EMEA,2024M10,68378.64786,12635.33818
0209-001-0000,AMER,2024M10,81808.35785,12684.48896
0209-002-0000,AMER,2024M10,11929.00108,14822.11486
0213-001-0006,AMER,2024M10,0.0,0.0
0276653001,EMEA,2024M10,423.532586,1391.615423
0285863001,AMER,2024M10,0.0,1176.524789
0311063001,EMEA,2024M10,543.19217,1363.0
0337284001,EMEA,2024M10,0.0,0.0
035377P006,AMER,2024M10,122.500836,756.08
0395-9990,AMER,2024M10,0.0,0.0
040488-000,EMEA,2024M10,263.919446,37.0
0409-201-1800,APAC,2024M10,3308.922909,765.45
0409-201-1800,APAC,2024M10,1047.803198,300.416677
0409-201-1800,EMEA,2024M10,7703.048155,1629.821146
0409-201-1800,AMER,2024M10,10286.90321,2466.744046
0409-201-2400,APAC,2024M10,1646.488008,360.0
0409-201-2400,APAC,2024M10,755.586331,173.426578
0409-201-2400,EMEA,2024M10,6534.419739,1241.0
0409-201-2400,AMER,2024M10,20311.8709,3946.049237
0410-241-0406,APAC,2024M10,175.02012,360.0
0410-241-0406,AMER,2024M10,5921.359128,11253.0
0410-241-0406,AMER,2024M10,10.83236,21.0282
0413-003-1605,APAC,2024M10,1206.390767,10800.0
0413-003-1605,EMEA,2024M10,1722.205674,24693.0
0413-003-1605,AMER,2024M10,1657.083674,37691.6415
0413-003-1605,AMER,2024M10,293.733051,4197.832385
0413-204-2005,APAC,2024M10,28402.83411,1058686.364
0413-204-2005,APAC,2024M10,908.966847,39615.38461
0413-204-2005,EMEA,2024M10,49157.87663,1351583.539
0413-204-2005,AMER,2024M10,72624.34587,2854460.95
0413-204-2005,AMER,2024M10,11184.54166,302529.0
0413-214-1205,EMEA,2024M10,37.22772,62.0
0413-214-1205,AMER,2024M10,683.888967,1728.0
0413-215-1605,APAC,2024M10,3.129006,10.291659
0413-215-1605,EMEA,2024M10,523.570899,1254.0
0413-215-1605,AMER,2024M10,2249.774994,8092.96
0413-216-2005,APAC,2024M10,0.0,0.0
0413-216-2005,EMEA,2024M10,91.146499,250.0
0413-216-2005,AMER,2024M10,547.742073,2387.0
0413-217-1605,APAC,2024M10,9026.012459,49896.38451
0413-217-1605,EMEA,2024M10,17133.20604,102219.8904
0413-217-1605,AMER,2024M10,59533.14739,460483.32
0413-217-1605,AMER,2024M10,4573.286116,21825.44
0418834001,EMEA,2024M10,198.565213,727.48368
0421-203-04141,APAC,2024M10,824.133047,2527.04172
0421-203-04141,EMEA,2024M10,0.0,0.0
0421-203-04141,AMER,2024M10,4027.342861,9338.0
0421-203-04141,AMER,2024M10,13.478288,32.095683
0426-205-0000,AMER,2024M10,17.1,45.0
0426-206-0000,AMER,2024M10,0.9,5.0
0428-204-1890,APAC,2024M10,399.720729,151.964614
0428-204-1890,EMEA,2024M10,2487.53222,1175.017075
0428-204-1890,AMER,2024M10,61.151263,23.000004
0428-204-2490,APAC,2024M10,554.260783,196.175384
0428-204-2490,EMEA,2024M10,2304.657198,859.033241
0428-204-2490,AMER,2024M10,0.0,0.0
0428-205-1890,EMEA,2024M10,800.532414,384.0
0428-205-2490,EMEA,2024M10,312.664948,150.0
0428-205-2490,AMER,2024M10,74.949599,34.0
0428-205-2490-F,AMER,2024M10,58.625232,15.0
043885-000,AMER,2024M10,104.294115,4545.0
0460-002-1631,AMER,2024M10,115.401822,133.0
0460-010-20141,APAC,2024M10,0.0,0.0
0460-010-20141,APAC,2024M10,2702.140376,2928.267015
0460-010-20141,EMEA,2024M10,10504.83569,26484.81285
0460-010-20141,AMER,2024M10,59111.04842,149274.5
0460-010-20141,AMER,2024M10,103.885894,345.169842
0460-010-2031,EMEA,2024M10,3648.458997,3079.38408
0460-010-2031,AMER,2024M10,20157.11944,29515.34471
0460-202-16141,APAC,2024M10,51534.74291,407759.6154
0460-202-16141,APAC,2024M10,18431.49672,120755.9231
0460-202-16141,EMEA,2024M10,126803.3218,858096.3356
0460-202-16141,AMER,2024M10,332965.41,2835215.0
0460-202-16141,AMER,2024M10,4109.31143,20047.15097
0460-202-1631,APAC,2024M10,16046.0161,67861.0
0460-202-1631,APAC,2024M10,12010.63918,41861.02317
0460-202-1631,EMEA,2024M10,50802.53873,150396.2837
0460-202-1631,AMER,2024M10,177673.5011,879076.0
0460-202-1631,AMER,2024M10,4073.292641,16744.0
0460-202-20141,APAC,2024M10,9892.678314,75650.0
0460-202-20141,APAC,2024M10,7666.179508,72918.17596
0460-202-20141,EMEA,2024M10,26832.30566,204063.8014
0460-202-20141,AMER,2024M10,37127.21304,236955.8618
0460-202-20141,AMER,2024M10,723.478556,2042.07493
0460-202-2031,APAC,2024M10,0.0,0.0
0460-202-2031,APAC,2024M10,3536.69907,17894.9651
0460-202-2031,EMEA,2024M10,10251.37446,33388.10861
0460-202-2031,AMER,2024M10,26965.94585,85716.0
0460-204-0490,APAC,2024M10,11424.583,6491.40326
0460-204-0490,APAC,2024M10,3663.27534,2060.0
0460-204-0490,EMEA,2024M10,15714.89553,6688.851156
0460-204-0490,AMER,2024M10,57437.97275,33444.0
0460-204-0490,AMER,2024M10,504.295555,155.846312
0460-204-08141,APAC,2024M10,31559.15803,27044.67363
0460-204-08141,APAC,2024M10,2551.372258,2440.222513
0460-204-08141,EMEA,2024M10,14643.20722,11737.00164
0460-204-08141,AMER,2024M10,60802.11275,62584.48815
0460-204-08141,AMER,2024M10,4096.636682,2188.001008
0460-204-12141,APAC,2024M10,14923.36283,80474.54302
0460-204-12141,APAC,2024M10,11263.72433,69561.02817
