material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M7,4058.782115,52271.07291
0021036003,AMER,2024M7,676.800851,8600.74027
0021036015,EMEA,2024M7,128.119005,4545.0
0021036034,EMEA,2024M7,272.208633,6678.0
0081930005,EMEA,2024M7,17459.38092,400906.0
0146662002,AMER,2024M7,180.734708,81.12
0209-001-0000,EMEA,2024M7,46993.68648,8683.721301
0209-001-0000,AMER,2024M7,109285.9742,16944.928
0209-002-0000,AMER,2024M7,17303.4365,21500.0
0213-001-0006,AMER,2024M7,0.0,0.0
0276653001,EMEA,2024M7,423.532586,1391.615423
0285863001,AMER,2024M7,0.0,1100.786709
0311063001,EMEA,2024M7,543.19217,1363.0
0337284001,EMEA,2024M7,0.0,0.0
035377P006,AMER,2024M7,122.500836,756.08
0395-9990,AMER,2024M7,0.0,0.0
040488-000,EMEA,2024M7,263.919446,37.0
0409-201-1800,APAC,2024M7,3676.581009,850.5
0409-201-1800,APAC,2024M7,952.257117,273.022567
0409-201-1800,EMEA,2024M7,9252.841748,1957.72853
0409-201-1800,AMER,2024M7,10277.58462,2465.00485
0409-201-2400,APAC,2024M7,1646.488007,360.0
0409-201-2400,APAC,2024M7,755.58633,173.426578
0409-201-2400,EMEA,2024M7,6534.419739,1241.0
0409-201-2400,AMER,2024M7,20353.39953,3953.4
0410-241-0406,APAC,2024M7,175.02012,360.0
0410-241-0406,AMER,2024M7,5921.359131,11253.0
0410-241-0406,AMER,2024M7,8.745109,16.976349
0413-003-1605,APAC,2024M7,1206.390767,10800.0
0413-003-1605,EMEA,2024M7,1722.205674,24693.0
0413-003-1605,AMER,2024M7,1729.360064,39577.23203
0413-003-1605,AMER,2024M7,245.894465,3514.155958
0413-204-2005,APAC,2024M7,35639.55382,1338142.694
0413-204-2005,APAC,2024M7,908.966847,39615.38461
0413-204-2005,EMEA,2024M7,57083.25668,1585685.422
0413-204-2005,AMER,2024M7,89394.14002,3344676.413
0413-204-2005,AMER,2024M7,10095.61183,274449.0
0413-214-1205,EMEA,2024M7,37.22772,62.0
0413-214-1205,AMER,2024M7,683.888968,1728.0
0413-215-1605,APAC,2024M7,3.47667,11.435175
0413-215-1605,EMEA,2024M7,523.570898,1254.0
0413-215-1605,AMER,2024M7,2241.193969,8062.2
0413-216-2005,APAC,2024M7,0.0,0.0
0413-216-2005,EMEA,2024M7,91.146498,250.0
0413-216-2005,AMER,2024M7,547.742075,2387.0
0413-217-1605,APAC,2024M7,9949.030126,54932.22835
0413-217-1605,EMEA,2024M7,21432.93236,127215.5694
0413-217-1605,AMER,2024M7,62790.86916,453244.72
0413-217-1605,AMER,2024M7,4666.311492,21855.6
0418834001,EMEA,2024M7,198.565212,727.48368
0421-203-04141,APAC,2024M7,915.703386,2807.824131
0421-203-04141,EMEA,2024M7,0.0,0.0
0421-203-04141,AMER,2024M7,4277.431215,9898.0
0421-203-04141,AMER,2024M7,10.8812,25.911276
0426-205-0000,AMER,2024M7,17.613,46.35
0426-206-0000,AMER,2024M7,0.9,5.0
0428-204-1890,APAC,2024M7,399.720728,151.964614
0428-204-1890,EMEA,2024M7,2988.004422,1411.421405
0428-204-1890,AMER,2024M7,60.794995,22.866005
0428-204-2490,APAC,2024M7,554.260785,196.175384
0428-204-2490,EMEA,2024M7,2768.336377,1031.864072
0428-204-2490,AMER,2024M7,0.0,0.0
0428-205-1890,EMEA,2024M7,800.532414,384.0
0428-205-2490,EMEA,2024M7,312.664948,150.0
0428-205-2490,AMER,2024M7,74.949599,34.0
0428-205-2490-F,AMER,2024M7,58.625232,15.0
043885-000,AMER,2024M7,104.294115,4545.0
0460-002-1631,AMER,2024M7,115.401822,133.0
0460-010-20141,APAC,2024M7,0.0,0.0
0460-010-20141,APAC,2024M7,2715.342726,2942.574196
0460-010-20141,EMEA,2024M7,12461.32375,31417.51438
0460-010-20141,AMER,2024M7,58351.95429,148080.0
0460-010-20141,AMER,2024M7,99.498468,330.59224
0460-010-2031,EMEA,2024M7,4327.971419,3652.908335
0460-010-2031,AMER,2024M7,21590.21759,31339.54459
0460-202-16141,APAC,2024M7,53921.67325,426659.6154
0460-202-16141,APAC,2024M7,18431.49672,120755.9231
0460-202-16141,EMEA,2024M7,123312.641,861472.7637
0460-202-16141,AMER,2024M7,317555.5003,2669857.0
0460-202-16141,AMER,2024M7,3848.611976,19296.08731
0460-202-1631,APAC,2024M7,17675.85015,74665.0
0460-202-1631,APAC,2024M7,8152.427206,28413.88698
0460-202-1631,EMEA,2024M7,52692.09128,151824.4463
0460-202-1631,AMER,2024M7,192745.9292,879076.0
0460-202-1631,AMER,2024M7,4073.292641,16744.0
0460-202-20141,APAC,2024M7,10550.12932,80375.0
0460-202-20141,APAC,2024M7,7892.732714,75073.07547
0460-202-20141,EMEA,2024M7,26941.92107,204477.4967
0460-202-20141,AMER,2024M7,42509.31702,277352.7741
0460-202-20141,AMER,2024M7,623.697083,1760.433902
0460-202-2031,APAC,2024M7,0.0,0.0
0460-202-2031,APAC,2024M7,3553.978983,17982.39787
0460-202-2031,EMEA,2024M7,12160.65624,39606.52425
0460-202-2031,AMER,2024M7,26965.94586,85716.0
0460-204-0490,APAC,2024M7,11848.82608,6729.7814
0460-204-0490,APAC,2024M7,3663.27534,2060.0
0460-204-0490,EMEA,2024M7,18641.73857,7934.625727
0460-204-0490,AMER,2024M7,49872.04828,29434.0
0460-204-0490,AMER,2024M7,2495.641718,797.730011
0460-204-08141,APAC,2024M7,33360.4777699999,28557.51507
0460-204-08141,APAC,2024M7,1001.843686,958.198678
0460-204-08141,EMEA,2024M7,16120.86796,12912.86765
0460-204-08141,AMER,2024M7,70652.04334,62607.95878
0460-204-08141,AMER,2024M7,4132.867495,2207.24505
0460-204-12141,APAC,2024M7,16277.67266,87438.38114
0460-204-12141,APAC,2024M7,8177.986881,50504.53647
0460-204-12141,EMEA,2024M7,16766.54887,58194.36772
0460-204-12141,AMER,2024M7,66842.03924,316884.2798
0460-204-12141,AMER,2024M7,454.95593,1832.664968
0460-208-12141,AMER,2024M7,825.427201,1269.599999
0460-208-16141,AMER,2024M7,1553.074336,3925.0
0460-208-1631,AMER,2024M7,0.0,103.5
0460-208-2031,AMER,2024M7,0.0,0.0
0460-208-2090,AMER,2024M7,992.538604,1922.0
0460-215-16141,APAC,2024M7,3665.318163,26305.5114
0460-215-16141,APAC,2024M7,50751.09949,355384.6154
0460-215-16141,EMEA,2024M7,51082.2492,269613.7486
0460-215-16141,AMER,2024M7,81356.6775,454258.708
0460-215-16141,AMER,2024M7,1648.475605,6500.0
0460-215-1631,APAC,2024M7,668.669302,1890.0
0460-215-1631,APAC,2024M7,18573.84522,56489.28149
0460-215-1631,EMEA,2024M7,4434.921728,7697.387298
0460-215-1631,AMER,2024M7,46662.52133,143243.1
0460-220-1231,APAC,2024M7,53.338964,62.959124
0460-220-1231,EMEA,2024M7,1622.836279,2656.375394
0460-220-1231,AMER,2024M7,6800.173054,12264.0
0460-220-1231,AMER,2024M7,322.508434,454.0
0460-229-16141,AMER,2024M7,353.067621,819.0
0460-241-16141,AMER,2024M7,0.0,0.0
0460-244-16141,AMER,2024M7,1199.14355,2637.6
0460-244-1631,AMER,2024M7,2265.038692,1077.0
0460-245-1290,AMER,2024M7,419.658526,488.0
0460-247-16141,AMER,2024M7,696.814984,1089.6
0460-247-1631,AMER,2024M7,6253.779274,3694.0
0460-256-12233,AMER,2024M7,3485.451526,2183.0
0460-264-16141,EMEA,2024M7,5030.325235,5351.5296
0460-264-16141,AMER,2024M7,2692.559221,1440.944448
0462-004-1631,EMEA,2024M7,0.0,0.0
0462-004-1631,AMER,2024M7,996.321995,1053.957278
0462-005-20141,APAC,2024M7,3786.755386,7290.097935
0462-005-20141,APAC,2024M7,4950.240547,9813.75109
0462-005-20141,EMEA,2024M7,20314.60026,37324.2125
0462-005-20141,AMER,2024M7,78671.18341,200075.4
0462-005-20141,AMER,2024M7,65.261903,179.591992
0462-005-20309,APAC,2024M7,0.0,0.0
0462-005-20309,EMEA,2024M7,958.598778,1690.0048
0462-005-20309,AMER,2024M7,1545.621914,2604.238831
0462-005-2031,APAC,2024M7,0.0,0.0
0462-005-2031,EMEA,2024M7,31788.75133,23620.12585
0462-005-2031,AMER,2024M7,58498.33736,72363.34623
0462-005-2031,AMER,2024M7,870.996527,1363.0
0462-201-16141,APAC,2024M7,33443.92368,198624.3048
0462-201-16141,APAC,2024M7,37558.02264,199534.7692
0462-201-16141,EMEA,2024M7,151628.2435,773699.2374
0462-201-16141,AMER,2024M7,475798.6476,3016187.66
0462-201-16141,AMER,2024M7,8303.201926,33997.0
0462-201-1631,APAC,2024M7,29445.46681,95125.0
0462-201-1631,APAC,2024M7,22903.78791,44658.07692
0462-201-1631,EMEA,2024M7,83748.13033,249779.0764
0462-201-1631,AMER,2024M7,354372.8314,1107384.127
0462-201-1631,AMER,2024M7,13214.243,31762.0
0462-201-20141,APAC,2024M7,5859.938262,31801.84772
0462-201-20141,APAC,2024M7,15855.41538,92307.69231
0462-201-20141,EMEA,2024M7,36207.20106,131525.7661
0462-201-20141,AMER,2024M7,57961.14833,218067.0
0462-201-20141,AMER,2024M7,750.75583,2289.674137
0462-201-2031,APAC,2024M7,3200.634484,12163.53958
0462-201-2031,APAC,2024M7,2593.470461,8173.817213
0462-201-2031,EMEA,2024M7,19142.517,63700.98768
0462-201-2031,AMER,2024M7,36581.88674,120486.0
0462-203-04141,APAC,2024M7,21573.49003,8892.475804
0462-203-04141,APAC,2024M7,4305.63488,1716.501613
0462-203-04141,EMEA,2024M7,24711.29096,8291.992413
0462-203-04141,AMER,2024M7,94411.26993,40711.6
0462-203-04141,AMER,2024M7,677.234409,243.120129
0462-203-08141,APAC,2024M7,63214.67348,36460.94837
0462-203-08141,APAC,2024M7,4022.596533,2452.145162
0462-203-08141,EMEA,2024M7,59068.40686,31513.48
0462-203-08141,AMER,2024M7,105717.7159,65171.0
0462-203-08141,AMER,2024M7,18191.25576,7889.724375
0462-203-12141,APAC,2024M7,22449.74424,82100.22763
0462-203-12141,APAC,2024M7,9953.052068,32525.6841
0462-203-12141,EMEA,2024M7,28333.34203,103406.3475
0462-203-12141,AMER,2024M7,90385.89577,366763.0
0462-203-12141,AMER,2024M7,4628.718436,17596.8
0462-209-16141,APAC,2024M7,8043.446709,49094.62481
0462-209-16141,APAC,2024M7,77131.42206,355384.6154
0462-209-16141,EMEA,2024M7,75625.8808,298995.5746
0462-209-16141,AMER,2024M7,137852.6919,710568.8804
0462-209-16141,AMER,2024M7,3555.729095,16311.35938
0462-209-1631,APAC,2024M7,3548.815947,10852.30701
0462-209-1631,APAC,2024M7,8684.604411,19520.30769
0462-209-1631,EMEA,2024M7,6797.925118,14127.272
0462-209-1631,AMER,2024M7,83611.04108,266678.1336
0462-209-1631,AMER,2024M7,13.250888,32.839555
0462-210-1231,APAC,2024M7,128.184902,158.129894
0462-210-1231,EMEA,2024M7,1038.89802,1003.958549
0462-210-1231,AMER,2024M7,18511.81478,21948.9
0462-210-1231,AMER,2024M7,16.627399,19.235299
0462-215-1231,AMER,2024M7,0.0,21.555134
