material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2023M10,4238.816591,55574.68321
0021036003,AMER,2023M10,859.80614,10926.35932
0021036015,EMEA,2023M10,128.119005,4545.0
0021036034,EMEA,2023M10,272.208634,6678.0
0081930005,EMEA,2023M10,17459.38092,400906.0
0146662002,AMER,2023M10,173.783376,78.0
0209-001-0000,EMEA,2023M10,68378.64786,12635.33818
0209-001-0000,AMER,2023M10,113304.4646,17568.0
0209-002-0000,AMER,2023M10,12639.55675,15705.0
0213-001-0006,AMER,2023M10,0.0,0.0
0276653001,EMEA,2023M10,423.532586,1391.615423
0285863001,AMER,2023M10,0.0,1131.273836
0311063001,EMEA,2023M10,543.19217,1363.0
0337284001,EMEA,2023M10,0.0,0.0
035377P006,AMER,2023M10,117.789264,727.0
0395-9990,AMER,2023M10,0.0,0.0
040488-000,EMEA,2023M10,263.919446,37.0
0409-201-1800,APAC,2023M10,3841.575084,900.0
0409-201-1800,APAC,2023M10,1017.284659,291.666677
0409-201-1800,EMEA,2023M10,6912.8539,1481.413276
0409-201-1800,AMER,2023M10,10510.11469,2503.0
0409-201-2400,APAC,2023M10,1829.431116,400.0
0409-201-2400,APAC,2023M10,721.167317,168.375319
0409-201-2400,EMEA,2023M10,6561.602739,1244.0
0409-201-2400,AMER,2023M10,18356.81849,3691.0
0410-241-0406,APAC,2023M10,145.850098,300.0
0410-241-0406,AMER,2023M10,5294.814515,10077.49117
0410-241-0406,AMER,2023M10,10.415731,20.219424
0413-003-1605,APAC,2023M10,1116.614873,9995.383728
0413-003-1605,EMEA,2023M10,1565.408466,22085.62474
0413-003-1605,AMER,2023M10,4278.981983,82132.0
0413-003-1605,AMER,2023M10,280.490782,4036.377294
0413-204-2005,APAC,2023M10,34428.02253,1238520.591
0413-204-2005,APAC,2023M10,882.492086,38461.53846
0413-204-2005,EMEA,2023M10,46838.67376,1424551.558
0413-204-2005,AMER,2023M10,72235.80384,2815617.13
0413-204-2005,AMER,2023M10,10761.22853,291129.0
0413-214-1205,EMEA,2023M10,37.22772,62.0
0413-214-1205,AMER,2023M10,683.888968,1728.0
0413-215-1605,APAC,2023M10,3.829271,12.100715
0413-215-1605,EMEA,2023M10,507.68437,1214.914047
0413-215-1605,AMER,2023M10,1233.346518,4404.0
0413-216-2005,APAC,2023M10,0.0,0.0
0413-216-2005,EMEA,2023M10,91.146498,250.0
0413-216-2005,AMER,2023M10,219.844935,1026.0
0413-217-1605,APAC,2023M10,13659.20086,79357.1909
0413-217-1605,EMEA,2023M10,23025.43841,136731.1446
0413-217-1605,AMER,2023M10,50800.31343,496417.0
0413-217-1605,AMER,2023M10,4497.887474,20986.0
0418834001,EMEA,2023M10,198.565213,727.48368
0421-203-04141,APAC,2023M10,968.98657,2971.242468
0421-203-04141,EMEA,2023M10,292.7322,600.0
0421-203-04141,AMER,2023M10,4521.142376,10598.0
0421-203-04141,AMER,2023M10,12.959894,30.861235
0426-205-0000,AMER,2023M10,17.1,45.0
0426-206-0000,AMER,2023M10,0.9,5.0
0428-204-1890,APAC,2023M10,388.078379,147.538461
0428-204-1890,EMEA,2023M10,2096.162445,1002.324173
0428-204-1890,AMER,2023M10,58.492505,22.0
0428-204-2490,APAC,2023M10,538.117266,190.461538
0428-204-2490,EMEA,2023M10,1649.196455,610.526765
0428-204-2490,AMER,2023M10,0.0,0.0
0428-205-1890,EMEA,2023M10,800.532414,384.0
0428-205-2490,EMEA,2023M10,312.664947,150.0
0428-205-2490,AMER,2023M10,81.475924,34.0
0428-205-2490-F,AMER,2023M10,58.625232,15.0
043885-000,AMER,2023M10,104.294115,4545.0
0460-002-1631,AMER,2023M10,258.836099,318.0
0460-010-20141,APAC,2023M10,10690.7,20000.0
0460-010-20141,APAC,2023M10,2636.255077,2856.868152
0460-010-20141,EMEA,2023M10,9304.60881,21082.32893
0460-010-20141,AMER,2023M10,37480.08899,86250.0
0460-010-20141,AMER,2023M10,436.805723,1363.0
0460-010-2031,EMEA,2023M10,3466.416427,2890.641889
0460-010-2031,AMER,2023M10,16294.01948,29324.0
0460-202-16141,APAC,2023M10,50584.08621,395500.0
0460-202-16141,APAC,2023M10,25171.52,160000.0
0460-202-16141,EMEA,2023M10,115321.9746,758096.3356
0460-202-16141,AMER,2023M10,220951.4331,2250479.95
0460-202-16141,AMER,2023M10,4095.905743,20008.52978
0460-202-1631,APAC,2023M10,23952.68512,97300.0
0460-202-1631,APAC,2023M10,11786.16683,41078.66327
0460-202-1631,EMEA,2023M10,48441.23233,143920.5192
0460-202-1631,AMER,2023M10,196077.9542,878578.0
0460-202-1631,AMER,2023M10,3902.964577,16100.0
0460-202-20141,APAC,2023M10,12713.65966,98900.0
0460-202-20141,APAC,2023M10,7442.892727,70794.34559
0460-202-20141,EMEA,2023M10,28105.86044,204246.2639
0460-202-20141,AMER,2023M10,32070.78972,212072.0
0460-202-20141,AMER,2023M10,695.652456,1963.533587
0460-202-2031,APAC,2023M10,0.0,0.0
0460-202-2031,APAC,2023M10,2267.1719,11519.87626
0460-202-2031,EMEA,2023M10,9018.05478,29030.0828
0460-202-2031,AMER,2023M10,26259.97153,83214.0198
0460-204-0490,APAC,2023M10,10595.06239,5922.52
0460-204-0490,APAC,2023M10,3556.578,2000.0
0460-204-0490,EMEA,2023M10,13573.38194,5779.277891
0460-204-0490,AMER,2023M10,58833.57509,38376.0
0460-204-0490,AMER,2023M10,428.34886,149.852224
0460-204-08141,APAC,2023M10,31991.52895,27678.40379
0460-204-08141,APAC,2023M10,2497.259379,2369.148071
0460-204-08141,EMEA,2023M10,16431.38713,13182.48712
0460-204-08141,AMER,2023M10,60638.22574,62735.0
0460-204-08141,AMER,2023M10,3100.37099,1900.00097
0460-204-12141,APAC,2023M10,10001.3407,54000.0
0460-204-12141,APAC,2023M10,10935.65469,67534.97881
