material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M1,4219.020357,55197.81927
0021036003,AMER,2024M1,1204.717012,16515.39603
0021036015,EMEA,2024M1,128.119005,4545.0
0021036034,EMEA,2024M1,272.208633,6678.0
0081930005,EMEA,2024M1,17459.38091,400906.0
0146662002,AMER,2024M1,180.734708,81.12
0209-001-0000,EMEA,2024M1,54359.10609,10044.73926
0209-001-0000,AMER,2024M1,69261.76029,10739.1232
0209-002-0000,AMER,2024M1,11619.86122,14438.0
0213-001-0006,AMER,2024M1,0.0,0.0
0276653001,EMEA,2024M1,423.532586,1391.615423
0285863001,AMER,2024M1,0.0,951.68348
0311063001,EMEA,2024M1,543.19217,1363.0
0337284001,EMEA,2024M1,0.0,0.0
035377P006,AMER,2024M1,122.500836,756.08
0395-9990,AMER,2024M1,0.0,0.0
040488-000,EMEA,2024M1,263.919446,37.0
0409-201-1800,APAC,2024M1,3851.656295,891.0
0409-201-1800,APAC,2024M1,2155.480791,618.0
0409-201-1800,EMEA,2024M1,8552.564645,1809.562971
0409-201-1800,AMER,2024M1,10481.94306,2492.050514
0409-201-2400,APAC,2024M1,1646.488009,360.0
0409-201-2400,APAC,2024M1,735.555484,171.734612
0409-201-2400,EMEA,2024M1,6552.541739,1243.0
0409-201-2400,AMER,2024M1,20340.9877,3951.7
0410-241-0406,APAC,2024M1,175.02012,360.0
0410-241-0406,AMER,2024M1,5921.359133,11253.0
0410-241-0406,AMER,2024M1,7.165168,13.909307
0413-003-1605,APAC,2024M1,1206.390766,10800.0
0413-003-1605,EMEA,2024M1,1722.205674,24693.0
0413-003-1605,AMER,2024M1,1495.862348,33377.26805
0413-003-1605,AMER,2024M1,207.101379,2980.273798
0413-204-2005,APAC,2024M1,25923.41609,1003832.177
0413-204-2005,APAC,2024M1,908.966848,39615.38461
0413-204-2005,EMEA,2024M1,46949.66805,1363594.896
0413-204-2005,AMER,2024M1,72556.78226,2749207.152
0413-204-2005,AMER,2024M1,9127.674211,249489.0
0413-214-1205,EMEA,2024M1,37.22772,62.0
0413-214-1205,AMER,2024M1,683.888969,1728.0
0413-215-1605,APAC,2024M1,3.642227,11.979709
0413-215-1605,EMEA,2024M1,523.5709,1254.0
0413-215-1605,AMER,2024M1,1742.860978,6245.1
0413-216-2005,APAC,2024M1,489.999998,1000.0
0413-216-2005,EMEA,2024M1,91.146498,250.0
0413-216-2005,AMER,2024M1,309.165058,1231.16
0413-217-1605,APAC,2024M1,10290.76047,56588.58838
0413-217-1605,EMEA,2024M1,17991.6165299999,105193.9304
0413-217-1605,AMER,2024M1,56059.99182,453123.0
0413-217-1605,AMER,2024M1,4668.878494,21912.8
0418834001,EMEA,2024M1,198.565214,727.48368
0421-203-04141,APAC,2024M1,959.308309,2941.530045
0421-203-04141,EMEA,2024M1,0.0,0.0
0421-203-04141,AMER,2024M1,3830.844871,8898.0
0421-203-04141,AMER,2024M1,8.915344,21.229995
0426-205-0000,AMER,2024M1,16.758,44.1
0426-206-0000,AMER,2024M1,0.882,4.9
0428-204-1890,APAC,2024M1,399.720729,151.964614
0428-204-1890,EMEA,2024M1,2761.86513,1304.601671
0428-204-1890,AMER,2024M1,67.780141,22.540003
0428-204-2490,APAC,2024M1,554.260784,196.175384
0428-204-2490,EMEA,2024M1,2558.822073,953.770141
0428-204-2490,AMER,2024M1,0.0,0.0
0428-205-1890,EMEA,2024M1,800.532414,384.0
0428-205-2490,EMEA,2024M1,312.664948,150.0
0428-205-2490,AMER,2024M1,74.9496,34.0
0428-205-2490-F,AMER,2024M1,58.625232,15.0
043885-000,AMER,2024M1,104.294115,4545.0
0460-002-1631,AMER,2024M1,115.401822,133.0
0460-010-20141,APAC,2024M1,0.0,0.0
0460-010-20141,APAC,2024M1,2632.046784,2852.307692
0460-010-20141,EMEA,2024M1,10399.48635,26219.20584
0460-010-20141,AMER,2024M1,58987.28653,149079.75
0460-010-20141,AMER,2024M1,86.81159,270.865541
0460-010-2031,EMEA,2024M1,3611.869865,3048.502004
0460-010-2031,AMER,2024M1,19623.77741,28914.1165
0460-202-16141,APAC,2024M1,49766.3727,393284.6154
0460-202-16141,APAC,2024M1,18431.49672,120755.9231
0460-202-16141,EMEA,2024M1,120042.8152,813158.6219
0460-202-16141,AMER,2024M1,215848.6087,2086967.0
0460-202-16141,AMER,2024M1,4021.810819,19795.06556
0460-202-1631,APAC,2024M1,18176.45965,76580.0
0460-202-1631,APAC,2024M1,7902.504203,27542.82321
0460-202-1631,EMEA,2024M1,54019.7221,153733.1557
0460-202-1631,AMER,2024M1,177236.9964,879076.0
0460-202-1631,AMER,2024M1,4059.083161,16744.0
0460-202-20141,APAC,2024M1,10465.55698,79150.0
0460-202-20141,APAC,2024M1,4543.597907,43217.2076499999
0460-202-20141,EMEA,2024M1,36471.53359,278222.9031
0460-202-20141,AMER,2024M1,36252.32515,231822.8618
0460-202-20141,AMER,2024M1,519.501706,1466.334292
0460-202-2031,APAC,2024M1,0.0,0.0
0460-202-2031,APAC,2024M1,3444.957004,17430.76923
0460-202-2031,EMEA,2024M1,10148.56699,33053.27084
0460-202-2031,AMER,2024M1,26965.94585,85716.0
0460-204-0490,APAC,2024M1,10395.15172,5897.2948
0460-204-0490,APAC,2024M1,3663.27534,2060.0
0460-204-0490,EMEA,2024M1,15557.29628,6621.770987
0460-204-0490,AMER,2024M1,49678.10217,31606.0
0460-204-0490,AMER,2024M1,3847.045836,1288.513156
0460-204-08141,APAC,2024M1,30297.90167,25673.57011
0460-204-08141,APAC,2024M1,945.697354,849.151391
0460-204-08141,EMEA,2024M1,16043.87071,12870.23805
0460-204-08141,AMER,2024M1,69359.91127,62584.48815
0460-204-08141,AMER,2024M1,4186.569856,2242.013318
