material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M2,4291.848,56444.185
0021036003,AMER,2024M2,751.139873,9545.435629
0021036015,EMEA,2024M2,128.119005,4545.0
0021036034,EMEA,2024M2,272.208633,6678.0
0081930005,EMEA,2024M2,17459.38091,400906.0
0146662002,AMER,2024M2,180.734707,81.12
0209-001-0000,EMEA,2024M2,55935.64739,10336.06021
0209-001-0000,AMER,2024M2,111066.4951,17221.0
0209-002-0000,AMER,2024M2,13943.35057,17325.0
0213-001-0006,AMER,2024M2,0.0,0.0
0276653001,EMEA,2024M2,423.532584,1391.615423
0285863001,AMER,2024M2,0.0,879.895165
0311063001,EMEA,2024M2,543.19217,1363.0
0337284001,EMEA,2024M2,0.0,0.0
035377P006,AMER,2024M2,122.500834,756.08
0395-9990,AMER,2024M2,0.0,0.0
040488-000,EMEA,2024M2,263.919446,37.0
0409-201-1800,APAC,2024M2,3851.656293,891.0
0409-201-1800,APAC,2024M2,2155.480791,618.0
0409-201-1800,EMEA,2024M2,11158.51387,2360.933165
0409-201-1800,AMER,2024M2,12436.87465,2992.830507
0409-201-2400,APAC,2024M2,1646.488008,360.0
0409-201-2400,APAC,2024M2,919.44436,214.668266
0409-201-2400,EMEA,2024M2,6552.541739,1243.0
0409-201-2400,AMER,2024M2,26163.69708,5056.74
0410-241-0406,APAC,2024M2,175.02012,360.0
0410-241-0406,AMER,2024M2,7401.587827,14066.0
0410-241-0406,AMER,2024M2,7.165166,13.909306
0413-003-1605,APAC,2024M2,1507.988462,13500.0
0413-003-1605,EMEA,2024M2,1722.205674,24693.0
0413-003-1605,AMER,2024M2,2168.545617,49465.16208
0413-003-1605,AMER,2024M2,207.10138,2980.273801
0413-204-2005,APAC,2024M2,40416.25058,1472639.084
0413-204-2005,APAC,2024M2,1136.208561,49519.23077
0413-204-2005,EMEA,2024M2,69758.37534,1950554.891
0413-204-2005,AMER,2024M2,86144.17037,3360682.852
0413-204-2005,AMER,2024M2,11184.54166,302529.0
0413-214-1205,EMEA,2024M2,37.22772,62.0
0413-214-1205,AMER,2024M2,854.858028,2160.0
0413-215-1605,APAC,2024M2,3.642229,11.979709
0413-215-1605,EMEA,2024M2,523.570892,1254.0
0413-215-1605,AMER,2024M2,2178.141382,7804.85
0413-216-2005,APAC,2024M2,0.0,0.0
0413-216-2005,EMEA,2024M2,91.146499,250.0
0413-216-2005,AMER,2024M2,666.908099,2945.7
0413-217-1605,APAC,2024M2,12392.55946,67671.82257
0413-217-1605,EMEA,2024M2,24009.90528,141823.6852
0413-217-1605,AMER,2024M2,82501.64718,566403.885
0413-217-1605,AMER,2024M2,4396.360538,20789.6
0418834001,EMEA,2024M2,198.565213,727.48368
0421-203-04141,APAC,2024M2,959.308306,2941.530043
0421-203-04141,EMEA,2024M2,0.0,0.0
0421-203-04141,AMER,2024M2,4954.498429,11492.0
0421-203-04141,AMER,2024M2,8.915345,21.229998
0426-205-0000,AMER,2024M2,16.758,44.1
0426-206-0000,AMER,2024M2,1.0584,5.88
0428-204-1890,APAC,2024M2,499.650913,189.955768
0428-204-1890,EMEA,2024M2,3603.399878,1702.111173
0428-204-1890,AMER,2024M2,67.780133,22.540001
0428-204-2490,APAC,2024M2,692.825979,245.21923
0428-204-2490,EMEA,2024M2,3338.490025,1244.381982
0428-204-2490,AMER,2024M2,0.0,0.0
0428-205-1890,EMEA,2024M2,800.532414,384.0
0428-205-2490,EMEA,2024M2,312.664948,150.0
0428-205-2490,AMER,2024M2,92.584799,42.0
0428-205-2490-F,AMER,2024M2,74.25863,19.0
043885-000,AMER,2024M2,104.294115,4545.0
0460-002-1631,AMER,2024M2,115.40182,133.0
0460-010-20141,APAC,2024M2,10690.7,20000.0
0460-010-20141,APAC,2024M2,3290.058479,3565.384614
0460-010-20141,EMEA,2024M2,12792.4217,32252.27926
