material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2023M9,4282.414283,56325.01183
0021036003,AMER,2023M9,650.770048,8269.942564
0021036015,EMEA,2023M9,128.119005,4545.0
0021036034,EMEA,2023M9,272.208634,6678.0
0081930005,EMEA,2023M9,17459.38091,400906.0
0146662002,AMER,2023M9,173.783376,78.0
0209-001-0000,EMEA,2023M9,41475.09422,7663.969059
0209-001-0000,AMER,2023M9,119805.5405,18576.0
0209-002-0000,AMER,2023M9,9669.804163,12015.0
0213-001-0006,AMER,2023M9,0.0,0.0
0276653001,EMEA,2023M9,423.532586,1391.615423
0285863001,AMER,2023M9,0.0,1037.97888
0311063001,EMEA,2023M9,543.19217,1363.0
0337284001,EMEA,2023M9,0.0,0.0
035377P006,AMER,2023M9,117.789264,727.0
0395-9990,AMER,2023M9,1613.17,5.0
040488-000,EMEA,2023M9,263.919446,37.0
0409-201-1800,APAC,2023M9,3841.575085,900.0
0409-201-1800,APAC,2023M9,1363.094296,390.814095
0409-201-1800,EMEA,2023M9,8035.013124,1702.190218
0409-201-1800,AMER,2023M9,47161.1746,8412.0
0409-201-2400,APAC,2023M9,1829.431115,400.0
0409-201-2400,APAC,2023M9,721.167317,168.375319
0409-201-2400,EMEA,2023M9,6561.602739,1244.0
0409-201-2400,AMER,2023M9,21229.8269,4222.0
0410-241-0406,APAC,2023M9,145.850098,300.0
0410-241-0406,AMER,2023M9,5344.028728,10077.49117
0410-241-0406,AMER,2023M9,8.40876,16.323413
0413-003-1605,APAC,2023M9,1116.614872,9995.383728
0413-003-1605,EMEA,2023M9,1565.408465,22085.62474
0413-003-1605,AMER,2023M9,1475.722209,33106.30805
0413-003-1605,AMER,2023M9,234.808884,3378.996114
0413-204-2005,APAC,2023M9,32821.83177,1132564.597
0413-204-2005,APAC,2023M9,0.0,0.0
0413-204-2005,EMEA,2023M9,63592.03247,1826890.785
0413-204-2005,AMER,2023M9,81883.82547,2851481.13
0413-204-2005,AMER,2023M9,9714.180621,264129.0
0413-214-1205,EMEA,2023M9,37.22772,62.0
0413-214-1205,AMER,2023M9,683.888969,1728.0
0413-215-1605,APAC,2023M9,0.376393,1.189426
0413-215-1605,EMEA,2023M9,507.68437,1214.914047
0413-215-1605,AMER,2023M9,1233.346517,4404.0
0413-216-2005,APAC,2023M9,0.0,0.0
0413-216-2005,EMEA,2023M9,91.146498,250.0
0413-216-2005,AMER,2023M9,219.844936,1026.0
0413-217-1605,APAC,2023M9,9530.820094,53089.87972
0413-217-1605,EMEA,2023M9,19281.69107,114752.0044
0413-217-1605,AMER,2023M9,58286.12895,442918.0
0413-217-1605,AMER,2023M9,4410.687547,21000.0
0418834001,EMEA,2023M9,198.565214,727.48368
0421-203-04141,APAC,2023M9,450.459717,1381.262744
0421-203-04141,EMEA,2023M9,0.0,0.0
0421-203-04141,AMER,2023M9,4810.345854,11227.0
0421-203-04141,AMER,2023M9,10.462696,24.914688
0426-205-0000,AMER,2023M9,17.613,46.35
0426-206-0000,AMER,2023M9,0.9,5.0
0428-204-1890,APAC,2023M9,388.078379,147.538461
0428-204-1890,EMEA,2023M9,2408.556252,1151.701845
0428-204-1890,AMER,2023M9,59.709357,22.457678
0428-204-2490,APAC,2023M9,538.117267,190.461538
0428-204-2490,EMEA,2023M9,1894.978328,701.51436
0428-204-2490,AMER,2023M9,0.0,0.0
0428-205-1890,EMEA,2023M9,800.532414,384.0
0428-205-2490,EMEA,2023M9,312.664949,150.0
0428-205-2490,AMER,2023M9,81.475924,34.0
0428-205-2490-F,AMER,2023M9,58.625232,15.0
043885-000,AMER,2023M9,104.294115,4545.0
0460-002-1631,AMER,2023M9,258.836098,318.0
0460-010-20141,APAC,2023M9,0.0,0.0
0460-010-20141,APAC,2023M9,2623.437259,2842.977685
0460-010-20141,EMEA,2023M9,10188.9895,23287.21434
0460-010-20141,AMER,2023M9,43979.21121,106250.0
0460-010-20141,AMER,2023M9,436.805723,1363.0
0460-010-2031,EMEA,2023M9,3828.949949,3192.958305
0460-010-2031,AMER,2023M9,16294.01949,29324.0
0460-202-16141,APAC,2023M9,47594.12897,366300.0
0460-202-16141,APAC,2023M9,12585.76,80000.0
0460-202-16141,EMEA,2023M9,94608.27883,659760.938
0460-202-16141,AMER,2023M9,206449.1432,2116838.0
0460-202-16141,AMER,2023M9,3845.23319,19286.35318
0460-202-1631,APAC,2023M9,18752.68512,77300.0
0460-202-1631,APAC,2023M9,8770.880294,30569.39915
0460-202-1631,EMEA,2023M9,37431.69351,109454.4125
0460-202-1631,AMER,2023M9,194705.8477,928578.0
0460-202-1631,AMER,2023M9,3902.964577,16100.0
0460-202-20141,APAC,2023M9,10534.45966,78900.0
0460-202-20141,APAC,2023M9,7662.847295,72886.48104
0460-202-20141,EMEA,2023M9,31045.2986,225607.2629
0460-202-20141,AMER,2023M9,32070.78971,212072.0
0460-202-20141,AMER,2023M9,599.708733,1692.724907
