material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2023M8,4415.172739,58609.82245
0021036003,AMER,2023M8,650.770049,8269.942567
0021036015,EMEA,2023M8,128.119005,4545.0
0021036034,EMEA,2023M8,272.208632,6678.0
0081930005,EMEA,2023M8,17459.38091,400906.0
0146662002,AMER,2023M8,173.783374,78.0
0209-001-0000,EMEA,2023M8,47445.31517,8767.17544
0209-001-0000,AMER,2023M8,128303.3753,19893.6
0209-002-0000,AMER,2023M8,10864.9485,13500.0
0213-001-0006,AMER,2023M8,0.0,0.0
0276653001,EMEA,2023M8,423.532584,1391.615423
0285863001,AMER,2023M8,0.0,1323.48789
0311063001,EMEA,2023M8,543.19217,1363.0
0337284001,EMEA,2023M8,0.0,0.0
035377P006,AMER,2023M8,117.789265,727.0
0395-9990,AMER,2023M8,0.0,0.0
040488-000,EMEA,2023M8,263.919446,37.0
0409-201-1800,APAC,2023M8,3841.575084,900.0
0409-201-1800,APAC,2023M8,1366.945504,391.918279
0409-201-1800,EMEA,2023M8,9618.824756,2029.822484
0409-201-1800,AMER,2023M8,38274.01363,5943.0
0409-201-2400,APAC,2023M8,1829.43111,400.0
0409-201-2400,APAC,2023M8,901.459152,210.46915
0409-201-2400,EMEA,2023M8,6561.602739,1244.0
0409-201-2400,AMER,2023M8,74238.32426,14047.0
0410-241-0406,APAC,2023M8,291.700199,600.0
0410-241-0406,AMER,2023M8,31325.44419,58186.35
0410-241-0406,AMER,2023M8,8.408758,16.323413
0413-003-1605,APAC,2023M8,1339.937846,11994.46048
0413-003-1605,EMEA,2023M8,1565.408462,22085.62474
0413-003-1605,AMER,2023M8,2203.249008,41550.0
0413-003-1605,AMER,2023M8,234.808883,3378.996119
0413-204-2005,APAC,2023M8,34768.31312,1393576.923
0413-204-2005,APAC,2023M8,4925.8,200000.0
0413-204-2005,EMEA,2023M8,75306.26635,2110244.949
0413-204-2005,AMER,2023M8,91001.68552,3519521.913
0413-204-2005,AMER,2023M8,10761.22853,291129.0
0413-214-1205,EMEA,2023M8,37.22772,62.0
0413-214-1205,AMER,2023M8,3036.05803,12160.0
0413-215-1605,APAC,2023M8,0.376393,1.189425
0413-215-1605,EMEA,2023M8,507.684367,1214.914047
0413-215-1605,AMER,2023M8,7153.717632,25504.0
0413-216-2005,APAC,2023M8,489.999998,1000.0
0413-216-2005,EMEA,2023M8,91.146499,250.0
0413-216-2005,AMER,2023M8,219.844937,1026.0
0413-217-1605,APAC,2023M8,21789.04107,129196.4886
0413-217-1605,EMEA,2023M8,21517.50129,129356.2896
0413-217-1605,AMER,2023M8,67789.86919,546446.0
0413-217-1605,AMER,2023M8,4498.929717,21012.0
0418834001,EMEA,2023M8,198.565213,727.48368
0421-203-04141,APAC,2023M8,450.459716,1381.262746
0421-203-04141,EMEA,2023M8,146.3661,300.0
0421-203-04141,AMER,2023M8,6291.542682,15011.0
0421-203-04141,AMER,2023M8,10.462694,24.914685
0426-205-0000,AMER,2023M8,17.613,46.35
0426-206-0000,AMER,2023M8,1.08,6.0
0428-204-1890,APAC,2023M8,485.097973,184.423076
0428-204-1890,EMEA,2023M8,2892.766652,1383.237234
0428-204-1890,AMER,2023M8,59.709356,22.457679
0428-204-2490,APAC,2023M8,672.646584,238.076923
0428-204-2490,EMEA,2023M8,2275.940281,842.545135
0428-204-2490,AMER,2023M8,1170.044998,360.0
0428-205-1890,EMEA,2023M8,800.532414,384.0
0428-205-2490,EMEA,2023M8,312.664948,150.0
0428-205-2490,AMER,2023M8,100.617199,42.0
0428-205-2490-F,AMER,2023M8,74.25863,19.0
043885-000,AMER,2023M8,104.294115,4545.0
0460-002-1631,AMER,2023M8,323.138149,397.0
0460-010-20141,APAC,2023M8,0.0,0.0
0460-010-20141,APAC,2023M8,3279.296577,3553.722107
0460-010-20141,EMEA,2023M8,14162.74124,32356.51585
0460-010-20141,AMER,2023M8,83920.15382,198532.0
0460-010-20141,AMER,2023M8,436.805723,1363.0
0460-010-2031,EMEA,2023M8,4678.172313,3901.124153
0460-010-2031,AMER,2023M8,23180.9116,31634.0
0460-202-16141,APAC,2023M8,54179.97581,406230.0
0460-202-16141,APAC,2023M8,0.0,0.0
0460-202-16141,EMEA,2023M8,155951.0534,1092439.735
0460-202-16141,AMER,2023M8,282584.3141,2640004.0
0460-202-16141,AMER,2023M8,3845.233189,19286.35318
0460-202-1631,APAC,2023M8,37349.7322,141700.0
0460-202-1631,APAC,2023M8,9577.752309,33381.61319
0460-202-1631,EMEA,2023M8,60445.63714,182306.15
0460-202-1631,AMER,2023M8,234269.4788,1090124.0
0460-202-1631,AMER,2023M8,3902.964577,16100.0
0460-202-20141,APAC,2023M8,10706.10466,80400.0
0460-202-20141,APAC,2023M8,9074.796579,86316.47784
0460-202-20141,EMEA,2023M8,37930.83173,275644.6714
0460-202-20141,AMER,2023M8,37545.53987,249674.0
0460-202-20141,AMER,2023M8,599.708733,1692.724907
0460-202-2031,APAC,2023M8,0.0,0.0
0460-202-2031,APAC,2023M8,2705.018848,13744.64919
0460-202-2031,EMEA,2023M8,12170.498,39178.13467
0460-202-2031,AMER,2023M8,30362.1185,102221.307
0460-204-0490,APAC,2023M8,3036.625972,1659.1808
0460-204-0490,APAC,2023M8,3556.577997,2000.0
0460-204-0490,EMEA,2023M8,18318.23177,7799.541228
0460-204-0490,AMER,2023M8,65581.82574,42419.0
0460-204-0490,AMER,2023M8,2959.608901,1016.03168
0460-204-08141,APAC,2023M8,43924.5408,38318.84637
0460-204-08141,APAC,2023M8,1295.076447,1162.862475
0460-204-08141,EMEA,2023M8,24760.37986,19880.34743
0460-204-08141,AMER,2023M8,73761.46908,76726.0
